phase,run_id,path,date,git_state,tracked_file_count,tracked_bytes,manifest_count,manifest_paths,version_record_count,version_paths,report_or_index_count,report_or_index_paths,retracted_marker,superseded_marker,linked_document_count,proposed_storage_class,issues,run_root
P2,20260714_e5_c001_s3ap_anchor_inventory,phases/p2-gsjso/runs/e5_c001/20260714_e5_c001_s3ap_anchor_inventory,20260714,tracked_record_present,2,13816,1,phases/p2-gsjso/runs/e5_c001/20260714_e5_c001_s3ap_anchor_inventory/manifest.json,0,,0,,no,no,0,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260714_e5_c001_s3ap_fm_env,phases/p2-gsjso/runs/e5_c001/20260714_e5_c001_s3ap_fm_env,20260714,tracked_record_present,2,8149,0,,0,,0,,no,no,2,A+D/C,missing_tracked_manifest;missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260714_e5_c001_s3ap_fm_rescore,phases/p2-gsjso/runs/e5_c001/20260714_e5_c001_s3ap_fm_rescore,20260714,tracked_record_present,2,731315,1,phases/p2-gsjso/runs/e5_c001/20260714_e5_c001_s3ap_fm_rescore/manifest.json,0,,0,,no,no,0,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260714_e5_c001_s3ap_fm_retriangulation,phases/p2-gsjso/runs/e5_c001/20260714_e5_c001_s3ap_fm_retriangulation,20260714,tracked_record_present,20,623754,1,phases/p2-gsjso/runs/e5_c001/20260714_e5_c001_s3ap_fm_retriangulation/manifest.json,1,phases/p2-gsjso/runs/e5_c001/20260714_e5_c001_s3ap_fm_retriangulation/versions.txt,0,,no,no,1,A+D/C,missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260715_e5_c001_s3ap_fm_retri_rescore,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_fm_retri_rescore,20260715,tracked_record_present,4,35827,2,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_fm_retri_rescore/manifest.json;phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_fm_retri_rescore/registration_manifest.json,0,,0,,no,no,0,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260715_e5_c001_s3ap_phase0_baselines,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase0_baselines,20260715,tracked_record_present,14,134937,1,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase0_baselines/manifest.json,0,,2,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase0_baselines/report_fragment.md;phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase0_baselines/val3dity/p0_planefit_val3dity_report.json,no,no,3,A+D/C,missing_tracked_versions,phases/p2-gsjso/runs
P2,20260715_e5_c001_s3ap_phase0_fm_dense,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase0_fm_dense,20260715,tracked_record_present,18,495779,1,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase0_fm_dense/manifest.json,1,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase0_fm_dense/versions.txt,0,,no,no,1,A+D/C,missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260715_e5_c001_s3ap_phase0_mononormal,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase0_mononormal,20260715,tracked_record_present,5,35437,1,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase0_mononormal/manifest.json,0,,0,,no,no,1,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260715_e5_c001_s3ap_phase1_seedprep,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase1_seedprep,20260715,tracked_record_present,7,21019,1,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase1_seedprep/manifest.json,0,,0,,no,no,4,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260715_e5_c001_s3ap_phase2_prepare,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase2_prepare,20260715,tracked_record_present,49,342969,1,phases/p2-gsjso/runs/e5_c001/20260715_e5_c001_s3ap_phase2_prepare/manifest.json,0,,0,,no,no,1,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
