variant,arm,outcome,spec,n,status,cook_threshold,n_cook_gt_4_over_n,cook_gt_4_over_n_buildings
robust_exclusion,raw_dense,val3dity_valid,attributes_only,130,ok,0.030769,11,DEBY_LOD2_4906967;DEBY_LOD2_4906969;DEBY_LOD2_4906975;DEBY_LOD2_4907017;DEBY_LOD2_4907519;DEBY_LOD2_4907520;DEBY_LOD2_4908163;DEBY_LOD2_4908354;DEBY_LOD2_4959324;DEBY_LOD2_4959326;DEBY_LOD2_60042
robust_exclusion,raw_dense,val3dity_valid,observation_only,176,ok,0.022727,9,DEBY_LOD2_4906968;DEBY_LOD2_4906969;DEBY_LOD2_4906985;DEBY_LOD2_4907017;DEBY_LOD2_4907025;DEBY_LOD2_4907519;DEBY_LOD2_4908163;DEBY_LOD2_4959326;DEBY_LOD2_60042
robust_exclusion,raw_dense,val3dity_valid,attributes_plus_observation,130,ok,0.030769,10,DEBY_LOD2_4906967;DEBY_LOD2_4906975;DEBY_LOD2_4906985;DEBY_LOD2_4907017;DEBY_LOD2_4907025;DEBY_LOD2_4907519;DEBY_LOD2_4907520;DEBY_LOD2_4908163;DEBY_LOD2_4959326;DEBY_LOD2_60042
robust_exclusion,raw_dense,rf_rmse_lod22,attributes_only,128,ok,0.031250,10,DEBY_LOD2_108250120;DEBY_LOD2_4906984;DEBY_LOD2_4907165;DEBY_LOD2_4907168;DEBY_LOD2_4907169;DEBY_LOD2_4907176;DEBY_LOD2_4907198;DEBY_LOD2_4908163;DEBY_LOD2_4959320;DEBY_LOD2_4959460
robust_exclusion,raw_dense,rf_rmse_lod22,observation_only,128,ok,0.031250,5,DEBY_LOD2_4906984;DEBY_LOD2_4907176;DEBY_LOD2_4907198;DEBY_LOD2_4959320;DEBY_LOD2_4959460
robust_exclusion,raw_dense,rf_rmse_lod22,attributes_plus_observation,128,ok,0.031250,9,DEBY_LOD2_108250120;DEBY_LOD2_42364659;DEBY_LOD2_4906984;DEBY_LOD2_4907168;DEBY_LOD2_4907176;DEBY_LOD2_4907198;DEBY_LOD2_4908163;DEBY_LOD2_4959320;DEBY_LOD2_4959460
robust_exclusion,raw_dense,rf_roof_planes,attributes_only,130,ok,0.030769,7,DEBY_LOD2_108580336;DEBY_LOD2_4906965;DEBY_LOD2_4906967;DEBY_LOD2_4906968;DEBY_LOD2_4906975;DEBY_LOD2_4959326;DEBY_LOD2_60042
robust_exclusion,raw_dense,rf_roof_planes,observation_only,176,ok,0.022727,7,DEBY_LOD2_108580336;DEBY_LOD2_4906965;DEBY_LOD2_4906968;DEBY_LOD2_4906975;DEBY_LOD2_4959326;DEBY_LOD2_4959460;DEBY_LOD2_60042
robust_exclusion,raw_dense,rf_roof_planes,attributes_plus_observation,130,ok,0.030769,7,DEBY_LOD2_108580336;DEBY_LOD2_4906965;DEBY_LOD2_4906968;DEBY_LOD2_4906975;DEBY_LOD2_4907017;DEBY_LOD2_4959326;DEBY_LOD2_60042
robust_exclusion,raw_lidar,assembled,attributes_only,195,max_iter,0.020513,10,DEBY_LOD2_108247349;DEBY_LOD2_4907035;DEBY_LOD2_4907156;DEBY_LOD2_4907164;DEBY_LOD2_4908059;DEBY_LOD2_4908179;DEBY_LOD2_4959320;DEBY_LOD2_4959759;DEBY_LOD2_60109;DEBY_LOD2_8573847
robust_exclusion,raw_lidar,assembled,observation_only,196,ok,0.020408,15,DEBY_LOD2_108247349;DEBY_LOD2_108247714;DEBY_LOD2_42364661;DEBY_LOD2_4906990;DEBY_LOD2_4907000;DEBY_LOD2_4907011;DEBY_LOD2_4907156;DEBY_LOD2_4907164;DEBY_LOD2_4907166;DEBY_LOD2_4908059;DEBY_LOD2_4908172;DEBY_LOD2_4959314;DEBY_LOD2_4959465;DEBY_LOD2_60109;DEBY_LOD2_8573847
robust_exclusion,raw_lidar,assembled,attributes_plus_observation,195,max_iter,0.020513,17,DEBY_LOD2_108247349;DEBY_LOD2_42364661;DEBY_LOD2_4907000;DEBY_LOD2_4907035;DEBY_LOD2_4907156;DEBY_LOD2_4907164;DEBY_LOD2_4907166;DEBY_LOD2_4908059;DEBY_LOD2_4908165;DEBY_LOD2_4908172;DEBY_LOD2_4908179;DEBY_LOD2_4959320;DEBY_LOD2_4959465;DEBY_LOD2_4959759;DEBY_LOD2_60109;DEBY_LOD2_8573617;DEBY_LOD2_8573847
