variant,arm,outcome,outcome_kind,spec,fit_type,n,predictor,coef,se,ci_low,ci_high,status
main,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,131,coverage_frac_reg,-0.090609,0.066261,-0.220481,0.039264,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,131,local_plane_rms_m,0.166743,0.048881,0.070937,0.262550,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,131,floater_frac,0.010783,0.050044,-0.087303,0.108869,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,131,label_proxy_frac_all,-0.027544,0.051089,-0.127678,0.072591,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,131,median_incidence_deg,0.118273,0.054155,0.012129,0.224417,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,131,median_pair_angle_deg,0.063041,0.056801,-0.048288,0.174370,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,131,n_views_nadir,0.081905,0.074705,-0.064517,0.228326,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,131,recon_score_median,-0.163284,0.072371,-0.305131,-0.021438,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,121,pt_density_m2_reg,0.432090,0.090825,0.254073,0.610107,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,121,coverage_frac_reg,-0.076582,0.094327,-0.261464,0.108300,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,121,local_plane_rms_m,0.365462,0.075833,0.216829,0.514095,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,121,floater_frac,0.045838,0.073452,-0.098128,0.189805,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,121,label_proxy_frac_all,-0.078849,0.078063,-0.231852,0.074154,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,121,median_incidence_deg,0.154805,0.082723,-0.007333,0.316942,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,121,median_pair_angle_deg,0.168190,0.083570,0.004392,0.331988,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,121,n_views_nadir,0.170615,0.115519,-0.055803,0.397033,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,121,recon_score_median,-0.356597,0.110495,-0.573167,-0.140028,ok
main,raw_dense,rf_roof_planes,continuous,attributes_only,huber_rlm,133,pt_density_m2_reg,-0.031987,0.046890,-0.123891,0.059917,ok
main,raw_dense,rf_roof_planes,continuous,attributes_only,huber_rlm,133,coverage_frac_reg,0.128394,0.045807,0.038613,0.218175,ok
main,raw_dense,rf_roof_planes,continuous,attributes_only,huber_rlm,133,local_plane_rms_m,0.061637,0.042741,-0.022135,0.145409,ok
main,raw_dense,rf_roof_planes,continuous,attributes_only,huber_rlm,133,floater_frac,-0.056084,0.039686,-0.133868,0.021700,ok
main,raw_dense,rf_roof_planes,continuous,attributes_only,huber_rlm,133,label_proxy_frac_all,-0.051283,0.042518,-0.134618,0.032051,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_only,huber_rlm,126,pt_density_m2_reg,-0.031619,0.065203,-0.159417,0.096178,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_only,huber_rlm,126,coverage_frac_reg,0.187136,0.063324,0.063022,0.311251,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_only,huber_rlm,126,local_plane_rms_m,0.072714,0.056390,-0.037811,0.183239,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_only,huber_rlm,126,floater_frac,-0.096207,0.053628,-0.201318,0.008904,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_only,huber_rlm,126,label_proxy_frac_all,-0.099137,0.057457,-0.211753,0.013479,ok
main,raw_dense,rf_roof_planes,continuous,observation_only,huber_rlm,179,median_incidence_deg,-0.066849,0.029061,-0.123809,-0.009889,ok
main,raw_dense,rf_roof_planes,continuous,observation_only,huber_rlm,179,median_pair_angle_deg,0.213063,0.036312,0.141891,0.284235,ok
main,raw_dense,rf_roof_planes,continuous,observation_only,huber_rlm,179,n_views_nadir,0.132647,0.044540,0.045349,0.219946,ok
