arm,replicate,run_name,z_min,z_max,n_gaussians,fraction_of_all,opacity_p50,ckpt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,552.0000,554.0000,34,0.00006284,0.0039,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,554.0000,556.0000,49,0.00009056,0.0039,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,556.0000,558.0000,36,0.00006653,0.0039,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,558.0000,560.0000,228,0.00042139,0.0623,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,560.0000,562.0000,1562,0.00288687,0.1902,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,562.0000,564.0000,770,0.00142311,0.1279,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,564.0000,566.0000,1268,0.00234350,0.1648,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,566.0000,568.0000,2460,0.00454655,0.2850,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,568.0000,570.0000,4270,0.00789177,0.4410,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,570.0000,572.0000,8583,0.01586301,0.7971,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,572.0000,574.0000,9524,0.01760216,0.8420,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,574.0000,576.0000,14487,0.02677472,0.8782,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,576.0000,578.0000,32453,0.05997930,0.9086,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,578.0000,580.0000,64284,0.11880903,0.8150,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,580.0000,582.0000,96522,0.17839097,0.7964,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
