building_id,in_full_199,in_control_93,in_failure_8,paired_category,coverage_control_population,dim_failure_bucket_v1,floor_area_m2,perimeter_m,exterior_vertex_count,part_count,height_m,height_source_files,height_coordinate_count
DEBY_LOD2_4908172,yes,no,no,both_fail,no,aoi_edge_excluded,39.803,33.150,6,1,3.831,690_5336.gml,44
DEBY_LOD2_4908176,yes,yes,yes,ALS_only,yes,roof_matching_assembly_failure,35.621,23.964,4,1,2.972,690_5336.gml,30
DEBY_LOD2_4908178,yes,no,no,both_success,no,success,113.412,43.328,4,1,4.147,690_5336.gml,37
DEBY_LOD2_4908179,yes,no,no,both_fail,no,aoi_edge_excluded,118.250,52.584,7,1,3.047,690_5336.gml,51
DEBY_LOD2_4908351,yes,no,no,both_success,no,success,55.188,34.466,6,1,3.119,690_5334.gml,38
DEBY_LOD2_4908352,yes,yes,no,both_success,yes,success,29.814,23.123,6,1,3.117,690_5334.gml,38
DEBY_LOD2_4908353,yes,yes,no,both_success,yes,success,145.523,50.839,8,1,12.330,690_5334.gml,65
DEBY_LOD2_4908354,yes,yes,no,ALS_only,yes,validity,29.193,22.048,4,1,3.350,690_5334.gml,30
DEBY_LOD2_4959314,yes,no,no,both_fail,no,aoi_edge_excluded,833.102,174.717,17,1,18.836,690_5336.gml,135
DEBY_LOD2_4959320,yes,no,no,DIM_only,no,success,4781.938,458.717,52,1,28.293,690_5334.gml,568
DEBY_LOD2_4959322,yes,yes,no,both_success,yes,success,391.506,82.961,4,1,21.523,690_5336.gml,37
DEBY_LOD2_4959323,yes,yes,no,both_success,yes,success,1358.777,182.671,12,1,23.040,690_5336.gml,117
DEBY_LOD2_4959324,yes,yes,no,both_success,yes,success,44.051,30.408,5,1,7.572,690_5336.gml,37
DEBY_LOD2_4959325,yes,yes,no,both_success,yes,success,825.008,114.895,21,1,30.570,690_5336.gml,253
DEBY_LOD2_4959326,yes,yes,no,ALS_only,yes,validity,1821.695,196.443,22,1,23.460,690_5336.gml,415
DEBY_LOD2_4959327,yes,yes,no,both_success,yes,success,495.180,114.271,34,1,20.951,690_5336.gml,280
DEBY_LOD2_4959336,yes,yes,no,both_success,yes,success,609.047,111.089,15,1,24.540,690_5336.gml,169
DEBY_LOD2_4959340,yes,yes,no,both_success,yes,success,384.723,89.373,10,1,18.592,690_5336.gml,71
DEBY_LOD2_4959457,yes,yes,no,both_success,yes,success,1371.824,150.786,11,1,19.408,690_5336.gml,121
DEBY_LOD2_4959458,yes,yes,no,both_success,yes,success,601.391,112.940,9,1,21.772,690_5336.gml,67
DEBY_LOD2_4959459,yes,yes,no,both_success,yes,success,372.990,89.263,4,1,7.780,690_5336.gml,37
DEBY_LOD2_4959460,yes,yes,no,both_success,yes,success,4699.410,414.915,17,1,18.350,690_5336.gml,173
DEBY_LOD2_4959461,yes,yes,no,both_success,yes,success,906.402,123.965,14,1,24.790,690_5336.gml,183
DEBY_LOD2_4959463,yes,yes,no,both_success,yes,success,61.305,34.068,6,1,7.123,690_5336.gml,44
DEBY_LOD2_4959464,yes,yes,no,both_success,yes,success,219.352,68.480,22,1,15.520,690_5336.gml,144
DEBY_LOD2_4959465,yes,no,no,both_fail,no,aoi_edge_excluded,212.270,78.177,10,1,12.440,690_5336.gml,72
DEBY_LOD2_4959753,yes,yes,no,DIM_only,yes,success,49.793,28.513,7,1,2.561,690_5336.gml,51
DEBY_LOD2_4959758,yes,no,no,ALS_only,no,coverage,116.969,56.148,24,1,7.582,690_5336.gml,164
DEBY_LOD2_4959759,yes,no,no,both_fail,no,aoi_edge_excluded,59.047,33.859,6,1,2.944,690_5336.gml,38
DEBY_LOD2_4959793,yes,yes,no,both_success,yes,success,193.930,56.717,4,1,3.884,690_5336.gml,47
DEBY_LOD2_60042,yes,yes,no,ALS_only,yes,validity,3629.750,459.713,187,1,26.536,690_5336.gml,1645
DEBY_LOD2_60097,yes,no,no,both_success,no,success,161.023,50.754,9,1,22.592,690_5336.gml,62
DEBY_LOD2_60098,yes,no,no,both_success,no,success,195.930,58.335,16,1,21.220,690_5336.gml,102
DEBY_LOD2_60109,yes,no,no,both_fail,no,aoi_edge_excluded,1838.387,182.834,13,1,15.443,690_5334.gml,111
DEBY_LOD2_8568391,yes,no,no,ALS_only,no,coverage,55.535,31.232,4,1,2.402,690_5336.gml,30
DEBY_LOD2_8568392,yes,no,no,ALS_only,no,coverage,5.797,9.633,4,1,2.073,690_5336.gml,30
DEBY_LOD2_8568403,yes,no,no,both_success,no,success,28.219,24.261,4,1,2.898,690_5334.gml,30
DEBY_LOD2_8573617,yes,no,no,ALS_only,no,coverage,34.758,24.695,4,1,2.689,690_5336.gml,30
DEBY_LOD2_8573847,yes,no,no,both_fail,no,aoi_edge_excluded,696.578,121.224,29,1,22.063,690_5336.gml,334
DEBY_LOD2_8573848,yes,no,no,DIM_only,no,success,1780.969,236.998,40,1,21.483,690_5336.gml,405
DEBY_LOD2_8573849,yes,yes,no,both_success,yes,success,840.703,186.847,40,1,18.164,690_5336.gml,346
