source_id,source_role,condition_id,seed,building_id,prediction_roof_surface_count,published_score_time_z_shift_m,published_rms_m,recomputed_zero_shift_rms_m,canonical_shift_m,datum_corrected_rms_m,published_hausdorff_m,recomputed_zero_shift_hausdorff_m,datum_corrected_hausdorff_m
02_seed1002,honest,02,1002,DEBY_LOD2_42364665,2,0.0,45.782755048,45.78275504777854,-45.7,0.33043671605921937,46.369588497,46.36958849690188,0.669588496901838
02_seed1002,honest,02,1002,DEBY_LOD2_4906965,53,0.0,46.837263844,46.83726384395962,-45.7,2.1794379727790267,58.170761082,58.170761082108584,28.77481486893396
02_seed1002,honest,02,1002,DEBY_LOD2_42364667,3,0.0,45.95163705,45.95163705029467,-45.7,0.2883272026981012,46.38844906,46.388449059857294,0.6884490598572484
02_seed1002,honest,02,1002,DEBY_LOD2_4907176,1,0.0,46.836771112,46.836771111706625,-45.7,1.1368264725859412,46.860939916,46.86093991626524,1.1609399162651926
02_seed1002,honest,02,1002,DEBY_LOD2_4907180,13,0.0,46.621522616,46.62152261590307,-45.7,2.2032315860964196,60.01343625,60.01343624957349,14.313436249573442
02_seed1002,honest,02,1002,DEBY_LOD2_4906967,40,0.0,46.197286934,46.19728693436934,-45.7,1.6426563822922744,61.52649128,61.52649128028679,15.826491280286746
02_seed1002,honest,02,1002,DEBY_LOD2_4908023,1,0.0,45.868594093,45.86859409289159,-45.7,0.20138626923631425,46.111952107,46.111952107234515,0.4119521072344696
02_seed1002,honest,02,1002,DEBY_LOD2_4908024,0,0.0,,,-45.7,,,,
03_seed1001,honest,03,1001,DEBY_LOD2_4906966,28,0.0,45.987792542,45.98779254166493,-45.7,1.0083984951727918,50.901065907,50.901065906719964,5.2010659067199185
03_seed1001,honest,03,1001,DEBY_LOD2_4907178,4,0.0,46.681257355,46.68125735457466,-45.7,1.508843164892303,51.037613291,51.03761329147176,5.337613291471712
03_seed1001,honest,03,1001,DEBY_LOD2_4907183,5,0.0,46.092763263,46.09276326304697,-45.7,0.551214638462249,48.997979366,48.99797936584889,3.297979365848846
03_seed1001,honest,03,1001,DEBY_LOD2_4907184,11,0.0,46.072242057,46.07224205680557,-45.7,0.5094767434322933,47.38480302,47.38480301991228,1.83678773245083
03_seed1001,honest,03,1001,DEBY_LOD2_4907185,1,0.0,48.885740859,48.88574085911495,-45.7,3.527523627388554,51.569693285,51.569693284539426,5.86969328453938
03_seed1001,honest,03,1001,DEBY_LOD2_4907186,0,0.0,,,-45.7,,,,
03_seed1001,honest,03,1001,DEBY_LOD2_4907188,0,0.0,,,-45.7,,,,
03_seed1001,honest,03,1001,DEBY_LOD2_4907195,1,0.0,54.666620895,54.666620894563835,-45.7,10.08979708512433,67.63686035,67.63686034954401,21.936860349543963
03_seed1001,honest,03,1001,DEBY_LOD2_4907196,8,0.0,46.082020889,46.08202088903165,-45.7,0.5836310264320884,47.649002733,47.649002733217344,1.9490027332172986
03_seed1001,honest,03,1001,DEBY_LOD2_4907198,0,0.0,,,-45.7,,,,
03_seed1001,honest,03,1001,DEBY_LOD2_4907201,3,0.0,46.019094141,46.01909414142856,-45.7,0.43903579208838955,47.513725973,47.51372597315276,1.8137259731527138
03_seed1001,honest,03,1001,DEBY_LOD2_4907202,0,0.0,,,-45.7,,,,
03_seed1001,honest,03,1001,DEBY_LOD2_4907204,5,0.0,46.065325528,46.06532552779019,-45.7,0.540887345711223,47.805867413,47.80586741294417,2.1058674129441215
03_seed1001,honest,03,1001,DEBY_LOD2_4907205,0,0.0,,,-45.7,,,,
03_seed1001,honest,03,1001,DEBY_LOD2_4907206,3,0.0,46.24048613,46.2404861298561,-45.7,1.6132311590194806,54.080333393,54.080333393328715,8.38033339332867
03_seed1001,honest,03,1001,DEBY_LOD2_4908168,0,0.0,,,-45.7,,,,
03_seed1001,honest,03,1001,DEBY_LOD2_4908178,0,0.0,,,-45.7,,,,
03_seed1001,honest,03,1001,DEBY_LOD2_60098,1,0.0,55.546366802,55.54636680222871,-45.7,11.976414252383613,73.486763353,73.48676335331345,27.786763353313404
