footprint_buffer_m,split,metric,e1_mean,e2_mean,raw_delta_mean_e2_minus_e1,directional_delta_mean_positive_favors_e2
0.25,easier_control,chamfer,0.23094477567820765,0.2294764477623029,-0.0014683279159048046,0.0014683279159048046
0.25,roof_complex_candidate,F,0.4262315748885965,0.4779328145913883,0.05170123970279191,0.05170123970279191
0.25,roof_complex_candidate,roof_cov,0.154,0.15388888888888888,-0.00011111111111110812,-0.00011111111111110812
0.25,roof_complex_candidate,wall_cov,0.6176666666666666,0.62,0.0023333333333333353,0.0023333333333333353
0.25,roof_complex_candidate,ground_cov,0.32944444444444443,0.6445555555555555,0.3151111111111111,0.3151111111111111
0.25,roof_complex_candidate,support_cov,0.2657777777777778,0.26211111111111113,-0.0036666666666666605,-0.0036666666666666605
0.25,roof_complex_candidate,h_err,1.6264592677311107,1.2492708092949911,-0.3771884584361196,0.3771884584361196
0.25,roof_complex_candidate,chamfer,1.0223773791081363,1.0137557458306194,-0.00862163327751686,0.00862163327751686
0.25,ground_sensitive,F,0.904405336133748,0.8619424408748465,-0.04246289525890149,-0.04246289525890149
0.25,ground_sensitive,roof_cov,0.7354444444444445,0.6206666666666666,-0.11477777777777776,-0.11477777777777776
0.25,ground_sensitive,wall_cov,0.941,0.8642222222222222,-0.07677777777777776,-0.07677777777777776
0.25,ground_sensitive,ground_cov,0.6666666666666666,0.6666666666666666,0.0,0.0
0.25,ground_sensitive,support_cov,0.5576666666666668,0.5324444444444444,-0.025222222222222257,-0.025222222222222257
0.25,ground_sensitive,h_err,1.5688371739895868,1.5533199025937048,-0.015517271395882068,0.015517271395882068
0.25,ground_sensitive,chamfer,0.22254290785855058,0.28808237415251514,0.06553946629396457,-0.06553946629396457
0.75,all_10,F,0.8216835986580682,0.803260939990199,-0.018422658667869306,-0.018422658667869306
0.75,all_10,roof_cov,0.6241,0.6090333333333333,-0.015066666666666667,-0.015066666666666667
0.75,all_10,wall_cov,0.8554666666666666,0.8542666666666665,-0.001200000000000001,-0.001200000000000001
0.75,all_10,ground_cov,0.8743000000000001,0.8374333333333333,-0.03686666666666667,-0.03686666666666667
0.75,all_10,support_cov,0.4591333333333333,0.4493666666666667,-0.009766666666666684,-0.009766666666666684
0.75,all_10,h_err,1.091747398531087,0.907610764592986,-0.18413663393810115,0.18413663393810115
0.75,all_10,chamfer,0.4580980326302438,0.4575642266537601,-0.0005338059764837422,0.0005338059764837422
0.75,hard_diagnostic,F,0.7018258720767093,0.6627687628012451,-0.03905710927546424,-0.03905710927546424
