building_id,source_files,part_count,intersecting_part_count,area_m2,min_x,min_y,max_x,max_y
DEBY_LOD2_4908163,690_5336.gml,1,1,56.262,690832.149,5336195.064,690841.130,5336206.178
DEBY_LOD2_4908164,690_5336.gml,1,1,33.271,690835.915,5336188.177,690844.606,5336195.064
DEBY_LOD2_4908165,690_5336.gml,1,1,8.826,690854.695,5336196.992,690859.591,5336200.440
DEBY_LOD2_4908166,690_5336.gml,1,1,29.086,690861.513,5336183.828,690868.595,5336190.859
DEBY_LOD2_4908167,690_5336.gml,1,1,33.592,690866.492,5336181.846,690873.897,5336189.434
DEBY_LOD2_4908168,690_5336.gml,1,1,28.832,690836.720,5336108.870,690843.770,5336116.120
DEBY_LOD2_4908169,690_5336.gml,1,1,16.934,690834.556,5336104.800,690839.773,5336110.634
DEBY_LOD2_4908170,690_5336.gml,1,1,72.814,690792.124,5336123.262,690806.646,5336133.141
DEBY_LOD2_4908172,690_5336.gml,1,1,39.803,690786.482,5336120.418,690794.105,5336134.225
DEBY_LOD2_4908176,690_5336.gml,1,1,35.621,690806.100,5336056.420,690814.180,5336063.860
DEBY_LOD2_4908178,690_5336.gml,1,1,113.412,690794.760,5336032.930,690807.650,5336048.060
DEBY_LOD2_4908179,690_5336.gml,1,1,118.250,690774.840,5336044.130,690795.840,5336057.150
DEBY_LOD2_4908351,690_5334.gml,1,1,55.188,690806.282,5335919.796,690819.980,5335928.351
DEBY_LOD2_4908352,690_5334.gml,1,1,29.814,690818.484,5335917.197,690827.097,5335923.528
DEBY_LOD2_4908353,690_5334.gml,1,1,145.523,690835.060,5335910.130,690849.360,5335928.810
DEBY_LOD2_4908354,690_5334.gml,1,1,29.193,690843.210,5335908.550,690849.770,5335916.290
DEBY_LOD2_4959314,690_5336.gml,1,1,833.102,691140.040,5336148.660,691188.310,5336197.720
DEBY_LOD2_4959320,690_5334.gml,1,1,4781.938,691071.570,5335924.800,691230.160,5336026.090
DEBY_LOD2_4959322,690_5336.gml,1,1,391.506,691040.130,5336116.990,691070.480,5336140.510
DEBY_LOD2_4959323,690_5336.gml,1,1,1358.777,691042.680,5336062.490,691088.730,5336131.180
DEBY_LOD2_4959324,690_5336.gml,1,1,44.051,691036.120,5336070.110,691048.080,5336077.870
DEBY_LOD2_4959325,690_5336.gml,1,1,825.008,691060.290,5336228.550,691097.420,5336265.730
DEBY_LOD2_4959326,690_5336.gml,1,1,1821.695,691067.690,5336145.250,691118.080,5336220.920
DEBY_LOD2_4959327,690_5336.gml,1,1,495.180,691055.130,5336286.780,691086.740,5336318.210
DEBY_LOD2_4959336,690_5336.gml,1,1,609.047,691106.620,5336309.350,691147.850,5336336.170
DEBY_LOD2_4959340,690_5336.gml,1,1,384.723,691134.233,5336267.125,691157.169,5336302.108
DEBY_LOD2_4959457,690_5336.gml,1,1,1371.824,691009.160,5335994.570,691054.070,5336047.410
DEBY_LOD2_4959458,690_5336.gml,1,1,601.391,691000.960,5336127.140,691045.400,5336155.890
DEBY_LOD2_4959459,690_5336.gml,1,1,372.990,691017.450,5336096.020,691040.130,5336131.240
DEBY_LOD2_4959460,690_5336.gml,1,1,4699.410,690963.520,5336140.510,691075.030,5336248.470
DEBY_LOD2_4959461,690_5336.gml,1,1,906.402,691016.050,5336244.330,691055.870,5336282.570
DEBY_LOD2_4959463,690_5336.gml,1,1,61.305,691027.763,5336316.353,691037.039,5336328.794
DEBY_LOD2_4959464,690_5336.gml,1,1,219.352,691024.289,5336301.362,691047.660,5336318.104
DEBY_LOD2_4959465,690_5336.gml,1,1,212.270,691015.940,5336348.570,691041.530,5336368.680
DEBY_LOD2_4959753,690_5336.gml,1,1,49.793,691047.181,5336314.743,691056.915,5336323.262
DEBY_LOD2_4959758,690_5336.gml,1,1,116.969,691131.359,5336344.532,691151.963,5336358.602
DEBY_LOD2_4959759,690_5336.gml,1,1,59.047,691150.102,5336340.460,691163.196,5336349.033
DEBY_LOD2_4959793,690_5336.gml,1,1,193.930,691038.570,5336097.420,691055.410,5336117.320
DEBY_LOD2_60042,690_5336.gml,1,1,3629.750,690876.700,5336096.010,691006.100,5336191.760
DEBY_LOD2_60097,690_5336.gml,1,1,161.023,690861.331,5336193.799,690878.077,5336209.836
DEBY_LOD2_60098,690_5336.gml,1,1,195.930,690809.546,5336093.763,690828.159,5336111.098
DEBY_LOD2_60109,690_5334.gml,1,1,1838.387,690729.070,5335934.090,690796.680,5335984.000
DEBY_LOD2_8568391,690_5336.gml,1,1,55.535,690786.390,5336021.420,690797.850,5336030.050
DEBY_LOD2_8568392,690_5336.gml,1,1,5.797,690792.831,5336019.202,690795.951,5336022.267
DEBY_LOD2_8568403,690_5334.gml,1,1,28.219,690834.527,5335920.207,690840.783,5335929.722
DEBY_LOD2_8573617,690_5336.gml,1,1,34.758,690796.393,5336345.022,690803.307,5336354.053
DEBY_LOD2_8573847,690_5336.gml,1,1,696.578,691141.300,5336297.870,691172.350,5336340.460
DEBY_LOD2_8573848,690_5336.gml,1,1,1780.969,691034.660,5336320.730,691115.520,5336367.170
DEBY_LOD2_8573849,690_5336.gml,1,1,840.703,691090.770,5336267.960,691137.180,5336322.610
