schema_version,condition_id,seed,checkpoint_step,checkpoint_sha256,iter,term,raw,weighted,share,roof_share
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1000,dep,6.431358337402344,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1000,nrm,0.4023803770542145,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1000,nc,0.28567519783973694,0.014283760450780392,0.07357085956984344,0.11310126603320224
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1000,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1000,str.cp,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1000,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1100,pho,0.2508161664009094,0.2508161664009094,0.8940359554274795,0.8836699140620403
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1100,dep,71.57939147949219,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1100,nrm,0.48731139302253723,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1100,nc,0.5945509076118469,0.029727546498179436,0.10596404457252047,0.11633008593795972
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1100,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1100,str.cp,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1100,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1200,pho,0.17068612575531006,0.17068612575531006,0.9131317830637682,0.9198549679575811
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1200,dep,6.311656475067139,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1200,nrm,0.24838748574256897,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1200,nc,0.32475486397743225,0.016237743198871613,0.08686821693623177,0.08014503204241885
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1200,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1200,str.cp,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1200,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1300,pho,0.20585055649280548,0.20585055649280548,0.9013309819192469,0.9069196652571211
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1300,dep,33.39411163330078,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1300,nrm,0.35316234827041626,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1300,nc,0.4506906569004059,0.022534532472491264,0.09866901808075308,0.09308033474287893
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1300,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1300,str.cp,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1300,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1400,pho,0.18234241008758545,0.18234241008758545,0.9378310820883764,0.9030206113684535
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1400,dep,9.943177223205566,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1400,nrm,0.7489750385284424,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1400,nc,0.24174992740154266,0.012087496928870678,0.06216891791162364,0.09697938863154659
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1400,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1400,str.cp,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1400,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1500,pho,0.1777750849723816,0.1777750849723816,0.9403006316056081,0.9631866734487688
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1500,dep,4.049983024597168,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1500,nrm,0.4178091883659363,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1500,nc,0.22573760151863098,0.011286879889667034,0.05969936839439199,0.03681332655123113
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1500,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1500,str.cp,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1500,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1600,pho,0.17759987711906433,0.17759987711906433,0.947835619430395,0.9594607012768416
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1600,dep,5.696065425872803,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1600,nrm,0.4618803858757019,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1600,nc,0.19548510015010834,0.009774255566298962,0.05216438056960504,0.04053929872315838
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1600,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1600,str.cp,0.0,0.0,0.0,0.0
