run,label,bid,status,is_B104,is_B6,is_roof_complex,is_terrain_sensitive,n_evidence_points,lmu5_proxy,lmu5_roof_p10,lmu5_terrain_p90,lmu5_margin,lmu5_violation_frac,lmu6_proxy,lmu6_roof_mismatch,lmu6_wall_mismatch,lmu6_terrain_mismatch,lmu6_gate_rate,lmu6_entropy_mean,lmu7_proxy,lmu7_roof_wall_edges,lmu7_missing_adjacency_frac,lmu7_normal_parallel_violation,lmu7_height_order_violation,lmu8_proxy,lmu8_wall_ground_edges,lmu8_missing_adjacency_frac,lmu8_wall_ground_gap,lmu8_topology_penalty,F,roof_cov,wall_cov,ground_cov,support_cov,roof_support_cov,wall_support_cov,ground_support_cov,h_err,vol_ratio,chamfer,open_edges,non_manifold_edges
A4_terrain_normal_only,A4 terrain-normal-only,B2,OK,0,0,0,0,3830,0.0,13.959432601928711,0.33275244235992435,13.626680159568787,0.0,0.014612316174303143,4.7666583737649974e-05,0.013731062201917497,0.0008335873886479952,0.9981723237597911,0.06176688085375816,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.9833953054825862,0.9933333333333333,0.985,1.0,0.524,1.0,0.433,0.193,0.5022705466578525,2.0648694297130077,0.20718621407830745,0,0
A4_terrain_normal_only,A4 terrain-normal-only,B8,OK,0,0,0,0,4552,0.0,14.016143321990967,0.3751194834709169,13.64102383852005,0.0,0.018899842930025328,3.092331188256956e-05,0.01814403461930077,0.0007248849988419865,0.9909929701230229,0.06853608039306168,0.1624980682024674,8.0,0.0,0.3249961364049348,0.0,0.0,8.0,0.0,0.0,0.0,0.898585643212509,1.0,0.9806666666666667,0.0,0.557,1.0,0.462,0.193,0.59455389593451,1.621966243651755,0.22166241323247116,0,0
A4_terrain_normal_only,A4 terrain-normal-only,B6,OK,0,1,0,1,3253,0.0,14.737574577331543,0.470546793937683,14.26702778339386,0.0,0.040566152970532766,8.588281048111349e-05,0.03961730122212624,0.0008629689379254075,0.9996925914540424,0.10616009416370507,0.12494159037048756,12.0,0.0,0.24988318074097512,0.0,0.0,12.0,0.0,0.0,0.0,0.9154464773347897,0.494,0.9393333333333334,1.0,0.41,0.727,0.393,0.116,3.00338994561292,0.4753808967969374,0.2727181519694484,0,0
A4_terrain_normal_only,A4 terrain-normal-only,B3,OK,0,0,1,0,28316,0.0,3.322047472000122,1.468548059463501,1.853499412536621,0.0004981207263505865,0.018824755093139918,5.9290759513417616e-05,0.018179257715884,0.0005862066177425036,0.9939963271648538,0.07191089376727672,0.2041317181031472,42.0,0.0,0.4082634362062944,0.0,0.0,42.0,0.0,0.0,0.0,0.4553930530164534,0.17066666666666666,0.602,0.9006666666666666,0.2803333333333334,0.324,0.449,0.076,2.3001423500453875,0.9254816167651453,1.0249498526756817,0,0
A4_terrain_normal_only,A4 terrain-normal-only,B123,OK,0,0,1,0,27209,0.0,4.509411334991455,0.44562315642833705,4.063788178563118,0.0,0.019777923513899048,4.951186475332821e-05,0.01906121180821022,0.0006671998409355009,0.9951486640449851,0.06941993941681983,0.036446722939199934,28.0,0.0,0.07289344587839987,0.0,0.0,28.0,0.0,0.0,0.0,0.6190309555854643,0.21933333333333332,0.648,0.976,0.39999999999999997,0.366,0.702,0.171,0.3523108395671777,0.7978270685730603,0.7563340795963198,0,0
A4_terrain_normal_only,A4 terrain-normal-only,B126,OK,0,0,1,0,17946,0.0,4.164243221282959,0.4270627796649933,3.7371804416179657,0.0,0.022752461370555546,7.454026713931638e-05,0.02203957099202048,0.0006383501113957486,0.9982168728407445,0.08254806975232522,0.13076879860162688,25.0,0.0,0.26153759720325376,0.0,0.0,25.0,0.0,0.0,0.0,0.5412720848056537,0.15033333333333335,0.6036666666666667,0.9673333333333334,0.27366666666666667,0.213,0.484,0.087,1.1386657834872622,0.8059070347758555,1.0701673902132312,0,0
A4_terrain_normal_only,A4 terrain-normal-only,B50,OK,0,0,0,1,4390,0.0,16.506891632080077,0.4901582598686218,16.016733372211455,0.0,0.031661442151151326,0.00013226517616234178,0.030976752841386766,0.0005524241336022174,0.9995444191343964,0.09147988229968526,0.021216511138276578,10.0,0.0,0.042433022276553156,0.0,0.0,10.0,0.0,0.0,0.0,0.9332428490639046,0.5133333333333333,0.9466666666666667,1.0,0.47066666666666673,0.93,0.389,0.106,0.06404368607639199,1.0209962238574979,0.2493422658771985,0,0
A4_terrain_normal_only,A4 terrain-normal-only,B104,OK,1,0,0,1,705,0.0,3.6489334106445312,0.4592572152614593,3.189676195383072,0.0,0.046100988537018515,8.763579784136842e-06,0.04526360668060689,0.0008286182766275008,0.9886524822695035,0.13536547962328457,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7846666666666667,1.0,0.773,0.548,0.19502475820604204,1.0596719561781618,0.08941220109198159,0,0
A8_no_terrain_terms,A8 no-terrain revised Mutual,B0,OK,0,0,0,0,4927,0.0,16.11857452392578,0.32451862096786505,15.794055902957915,0.0,0.017236250303464377,0.00015507582798884783,0.014015722948055122,0.0030654515274204062,0.9995940734727015,0.07257921183557894,0.13695159321514486,12.0,0.0,0.2739031864302897,0.0,0.0,12.0,0.0,0.0,0.0,0.97403182479254,0.8126666666666666,0.9713333333333334,1.0,0.6323333333333333,0.992,0.705,0.251,0.5067804532344056,1.105182425763591,0.21961179395978384,0,0
A8_no_terrain_terms,A8 no-terrain revised Mutual,B1,OK,0,0,0,0,4990,0.0,16.949684143066406,0.4202070593833923,16.529477083683012,0.0,0.015185436980202983,7.109151319501214e-05,0.013894187707598576,0.0012201577594093966,0.9993987975951903,0.062227584643127075,0.10813716233486542,6.0,0.0,0.21627432466973084,0.0,0.0,6.0,0.0,0.0,0.0,0.9369399679829242,0.8036666666666666,0.9313333333333333,0.9946666666666667,0.5146666666666666,0.988,0.519,0.038,0.4352806628834678,0.8007449862907547,0.2570278204437668,0,0
