path,size_bytes,loadable,keys,n_points,n_roof,n_wall,n_ground,bbox_min,bbox_max,compatibility_notes,role_guess,mtime
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B123/readout_evidence_after_stage3_v1_patch.npz,944094,True,points;normals;classes;weights;sem_probs;opacities;areas,14060,6786,7184,90,"[-50.85567092895508, -18.715652465820312, -92.47799682617188]","[-17.128143310546875, 0.4426996409893036, -60.54745101928711]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-07 23:40:15
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B126/readout_evidence_after_stage3_v1_patch.npz,703687,True,points;normals;classes;weights;sem_probs;opacities;areas,10488,5553,4867,68,"[-65.5313491821289, -20.258560180664062, -101.68518829345703]","[-40.42348861694336, 0.3595879375934601, -73.37699890136719]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-07 23:40:39
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B2/readout_evidence_after_stage3_v1_patch.npz,185460,True,points;normals;classes;weights;sem_probs;opacities;areas,2727,1250,1460,17,"[-85.7212905883789, -14.649852752685547, -5.070065021514893]","[-73.42780303955078, 0.26776427030563354, 8.5780611038208]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-07 23:38:56
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B3/readout_evidence_after_stage3_v1_patch.npz,1246388,True,points;normals;classes;weights;sem_probs;opacities;areas,18445,11080,7256,109,"[-87.65617370605469, -26.313596725463867, -53.21015167236328]","[6.154741287231445, 0.6438403129577637, -2.0708518028259277]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-07 23:39:31
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B50/readout_evidence_after_stage3_v1_patch.npz,181611,True,points;normals;classes;weights;sem_probs;opacities;areas,2699,1495,1183,21,"[-27.68861198425293, -18.570249557495117, 27.15396499633789]","[-11.828228950500488, -1.3452534675598145, 39.09962844848633]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-07 23:40:55
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B6/readout_evidence_after_stage3_v1_patch.npz,268368,True,points;normals;classes;weights;sem_probs;opacities;areas,3998,1965,2026,7,"[-83.89878845214844, -19.949697494506836, -58.539432525634766]","[-71.60014343261719, 0.1670059859752655, -46.88485336303711]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-07 23:39:04
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B8/readout_evidence_after_stage3_v1_patch.npz,186093,True,points;normals;classes;weights;sem_probs;opacities;areas,2743,1206,1521,16,"[-63.98657989501953, -15.115280151367188, 5.026763916015625]","[-51.99940872192383, 0.18780723214149475, 18.926725387573242]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-07 23:39:00
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B0/readout_evidence_after_stage3_v1_patch.npz,498043,True,points;normals;classes;weights;sem_probs;opacities;areas,7503,2422,5028,48,"[-100.63865661621094, -16.97544288635254, -79.04058837890625]","[-89.13206481933594, 0.7870610356330872, -63.812171936035156]","Post-readout diagnostic evidence, not source E1 evidence.",OTHER,2026-05-07 23:38:44
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B1/readout_evidence_after_stage3_v1_patch.npz,418103,True,points;normals;classes;weights;sem_probs;opacities;areas,6295,2836,3437,21,"[-94.34012603759766, -18.81430435180664, -45.63328552246094]","[-80.42672729492188, 0.350393146276474, -25.377342224121094]","Post-readout diagnostic evidence, not source E1 evidence.",OTHER,2026-05-07 23:38:52
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B104/readout_evidence_after_stage3_v1_patch.npz,11857,True,points;normals;classes;weights;sem_probs;opacities;areas,158,110,39,9,"[65.9022, -4.3225321769714355, 72.7808609008789]","[71.36241149902344, -2.1646816730499268, 80.136]","Post-readout diagnostic evidence, not source E1 evidence.",OTHER,2026-05-07 23:40:58
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B123/readout_evidence_after_stage3_v1_patch.npz,921498,True,points;normals;classes;weights;sem_probs;opacities;areas,13839,6869,6875,92,"[-50.82610321044922, -18.734731674194336, -92.27277374267578]","[-16.816110610961914, 0.8428913354873657, -60.56553268432617]","Post-readout diagnostic evidence, not source E1 evidence.",OTHER,2026-05-07 23:40:23
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B126/readout_evidence_after_stage3_v1_patch.npz,685169,True,points;normals;classes;weights;sem_probs;opacities;areas,10272,5482,4714,73,"[-65.44853210449219, -20.321500778198242, -101.73290252685547]","[-39.869991302490234, 0.387548565864563, -73.77935791015625]","Post-readout diagnostic evidence, not source E1 evidence.",OTHER,2026-05-07 23:40:47
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B2/readout_evidence_after_stage3_v1_patch.npz,165174,True,points;normals;classes;weights;sem_probs;opacities;areas,2440,1136,1286,18,"[-85.5619888305664, -14.750774383544922, -5.240965843200684]","[-73.45429992675781, 0.18370679020881653, 8.606067657470703]","Post-readout diagnostic evidence, not source E1 evidence.",OTHER,2026-05-07 23:38:58
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B3/readout_evidence_after_stage3_v1_patch.npz,1198675,True,points;normals;classes;weights;sem_probs;opacities;areas,17865,11033,6734,98,"[-87.64169311523438, -26.297035217285156, -53.18108367919922]","[6.1267266273498535, 0.9955570697784424, -2.100388526916504]","Post-readout diagnostic evidence, not source E1 evidence.",OTHER,2026-05-07 23:39:49
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B50/readout_evidence_after_stage3_v1_patch.npz,169152,True,points;normals;classes;weights;sem_probs;opacities;areas,2515,1427,1086,1,"[-27.689090728759766, -18.475872039794922, 27.05986785888672]","[-11.919342994689941, 0.19997422397136688, 39.097469329833984]","Post-readout diagnostic evidence, not source E1 evidence.",OTHER,2026-05-07 23:40:56
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B6/readout_evidence_after_stage3_v1_patch.npz,257331,True,points;normals;classes;weights;sem_probs;opacities;areas,3856,2027,1820,9,"[-84.18720245361328, -19.916664123535156, -58.53681182861328]","[-71.601318359375, 0.15452904999256134, -46.940670013427734]","Post-readout diagnostic evidence, not source E1 evidence.",OTHER,2026-05-07 23:39:06
