setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907198,382,1438,0.26564673157162727
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907199,96,393,0.24427480916030533
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907202,139,641,0.21684867394695787
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908168,0,114,0.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908178,206,454,0.45374449339207046
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908179,2,474,0.004219409282700422
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568391,6,221,0.027149321266968326
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568392,4,24,0.16666666666666666
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247349,0,402,0.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247350,4,48,0.08333333333333333
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247351,31,260,0.11923076923076924
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,784,784,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,643,644,0.9984472049689441
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,672,673,0.9985141158989599
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,663,664,0.9984939759036144
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,831,850,0.9776470588235294
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,710,710,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1437,1438,0.9993045897079277
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,393,393,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,641,641,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,114,114,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,454,454,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,465,474,0.9810126582278481
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568391,221,221,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568392,24,24,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247349,385,402,0.9577114427860697
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247350,48,48,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247351,260,260,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_60098,581,784,0.7410714285714286
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907184,1352,1352,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907185,591,644,0.9177018633540373
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907186,444,673,0.6597325408618128
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907188,429,664,0.6460843373493976
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907194,403,850,0.47411764705882353
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907195,622,710,0.8760563380281691
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907198,1185,1438,0.8240611961057024
