building_id,band_width_m,source,view_stem,all_count,upper_count,upper_z_median_local_m,upper_z_mad_m,upper_z_std_m,ground_z_q10_local_m,reference_roof_z_local_m,abs_delta_z_ref_m,alpha_threshold,crop_xyxy
DEBY_LOD2_4907199,1.500000,render_arm1p_r1,DJI_20241217095149_0081_D,172,0,,,,-27.521000,-34.333000,,0.500000,0;504;174;599
DEBY_LOD2_4907199,0.500000,render_arm1p_r1,DJI_20241217095441_0023_D,0,0,,,,-27.521000,-34.333000,,0.500000,0;761;345;1013
DEBY_LOD2_4907199,1.000000,render_arm1p_r1,DJI_20241217095441_0023_D,0,0,,,,-27.521000,-34.333000,,0.500000,0;761;345;1013
DEBY_LOD2_4907199,1.500000,render_arm1p_r1,DJI_20241217095441_0023_D,0,0,,,,-27.521000,-34.333000,,0.500000,0;761;345;1013
DEBY_LOD2_4907199,0.500000,render_arm1p_r1,DJI_20241217095531_0048_D,0,0,,,,-27.521000,-34.333000,,0.500000,1155;864;1363;1013
DEBY_LOD2_4907199,1.000000,render_arm1p_r1,DJI_20241217095531_0048_D,0,0,,,,-27.521000,-34.333000,,0.500000,1155;864;1363;1013
DEBY_LOD2_4907199,1.500000,render_arm1p_r1,DJI_20241217095531_0048_D,5,0,,,,-27.521000,-34.333000,,0.500000,1155;864;1363;1013
DEBY_LOD2_8568391,0.500000,render_arm1p_r1,DJI_20241217084901_0194_D,0,0,,,,-38.430000,-40.782000,,0.500000,1255;0;1400;190
DEBY_LOD2_8568391,1.000000,render_arm1p_r1,DJI_20241217084901_0194_D,65,65,-35.898101,0.030656,0.044039,-38.430000,-40.782000,4.883899,0.500000,1255;0;1400;190
DEBY_LOD2_8568391,1.500000,render_arm1p_r1,DJI_20241217084901_0194_D,208,208,-35.863887,0.050321,0.079098,-38.430000,-40.782000,4.918113,0.500000,1255;0;1400;190
DEBY_LOD2_8568391,0.500000,render_arm1p_r1,DJI_20241217084903_0195_D,0,0,,,,-38.430000,-40.782000,,0.500000,1284;115;1400;310
DEBY_LOD2_8568391,1.000000,render_arm1p_r1,DJI_20241217084903_0195_D,56,56,-35.989729,0.026481,0.037020,-38.430000,-40.782000,4.792271,0.500000,1284;115;1400;310
