setting,run_name,roofer_repeat,building_id,prep_returncode,n_clip,n_used,n_building,n_building_in_fp,classified_las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4908178,0,13461,13461,13461,1542,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4908178_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4908179,0,13352,13352,13352,77,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4908179_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_60098,0,194785,194785,194785,1048,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_60098_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_8568391,0,3757,3757,3757,27,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_8568391_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_8568392,0,3654,3654,3654,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_8568392_run_1_classified.las
base,gs_e5_C001_acmp_r2,run_1,DEBY_LOD2_108247349,0,23508,23508,23508,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r2/run_1/DEBY_LOD2_108247349_run_1_classified.las
base,gs_e5_C001_acmp_r2,run_1,DEBY_LOD2_108247350,0,16588,16588,16588,23,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r2/run_1/DEBY_LOD2_108247350_run_1_classified.las
base,gs_e5_C001_acmp_r2,run_1,DEBY_LOD2_108247351,0,19581,19581,19581,239,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r2/run_1/DEBY_LOD2_108247351_run_1_classified.las
base,gs_e5_C001_acmp_r2,run_1,DEBY_LOD2_4907184,0,645136,645136,645136,415625,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r2/run_1/DEBY_LOD2_4907184_run_1_classified.las
base,gs_e5_C001_acmp_r2,run_1,DEBY_LOD2_4907185,0,645703,645703,645703,5189,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r2/run_1/DEBY_LOD2_4907185_run_1_classified.las
base,gs_e5_C001_acmp_r2,run_1,DEBY_LOD2_4907186,0,13294,13294,13294,810,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r2/run_1/DEBY_LOD2_4907186_run_1_classified.las
base,gs_e5_C001_acmp_r2,run_1,DEBY_LOD2_4907188,0,3601,3601,3601,647,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r2/run_1/DEBY_LOD2_4907188_run_1_classified.las
base,gs_e5_C001_acmp_r2,run_1,DEBY_LOD2_4907194,0,13690,13690,13690,271,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r2/run_1/DEBY_LOD2_4907194_run_1_classified.las
