selection_rank,building_id,tier,role,calibration_exposed,later_extension_judgment_eligible,centroid_x_m,centroid_y_m,core_footprint_distance_m,als_density_pts_m2,dim_density_pts_m2,support_geomean_pts_m2,maximin_distance_m,stable_tie_sha256,selection_reason
11,DEBY_LOD2_4906982,surface,fit,true,false,690950.537189507,5336221.640733213,39.066102939,11.336961000,362.202179000,64.080199574,95.225585602,1387fd9454da01f11b65d310a6869a73550c82d32a4a6c836ab4d198ed9235d7,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
12,DEBY_LOD2_4906991,surface,check,true,false,691009.319175611,5336348.386732336,89.488283618,19.387815000,57.967312000,33.524014096,88.960293886,ad04d74df616994c156269e66946d2c864de7d6884bd09a55c954e7afe817f1e,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
13,DEBY_LOD2_108580335,surface,fit,true,false,691113.037048200,5336234.442409679,33.967498657,10.847725000,145.979919000,39.793843957,82.300885523,b1078526f2f114a1a3885689d34d4cab479f64b456101cfa108ccabbc34bcbc4,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
14,DEBY_LOD2_4906970,surface,trigger,true,false,690929.854180369,5335942.267648718,41.494241769,19.582491000,759.703247000,121.970824368,76.368197001,da41b537541cdb0d7fe2cca8b41cfd98a4c5f6f350f7136212522a67c3afdcc6,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
15,DEBY_LOD2_4906984,surface,fit,true,false,690973.076822077,5336287.518357986,54.665214470,11.370409000,79.561867000,30.077416255,67.385307021,51e8a5b3900b5b8db65821ec2f6eda7d4f62414ddc22c2a1a0f20a49a810a718,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
16,DEBY_LOD2_4959340,surface,check,true,false,691145.707129110,5336284.614536820,44.920530751,11.279584000,93.788177000,32.525245897,59.871333111,c7e55fcb5b3ee21b626c91405406a4ab1054d328098364bf1a5d6263e293bec1,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
17,DEBY_LOD2_4959460,surface,fit,true,false,691023.470590627,5336205.264349455,64.788871614,14.249721000,461.568329000,81.100061102,59.615774713,aa272ed76b920de2d280d8edc706426442425df895a40699d509c2795468e34e,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
18,DEBY_LOD2_108580336,surface,trigger,true,false,691000.852067558,5336033.903682815,61.163244682,18.559450000,356.527710000,81.344687641,58.869714095,7c509eee8782e7e8a9c72a44071c4a15c96294744f7cdb7c3d0e3e110e69d287,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
19,DEBY_LOD2_8573848,surface,fit,true,false,691074.087978874,5336344.530686059,23.601143334,18.682571000,90.047043000,41.015975841,57.256981790,557dc34216c3785cd87c848409c0419685a6a5ef62bcc55e4c691252732cb46b,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
20,DEBY_LOD2_4959324,surface,check,true,false,691042.094453550,5336073.987161035,115.682254028,14.436782000,342.090912000,70.275827428,56.390962431,28b5dcd3d321eb640f4b7038a26ad0245b7c99a9b3ef156ac8543f9fc6d5505e,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
21,DEBY_LOD2_4907515,surface,fit,true,false,690876.778088021,5335925.014196431,20.111315223,18.067600000,581.191467000,102.473093782,55.809973972,7fdcf1a1aa28917e524a97ac55afeeccd5ff15235364df10eb5a59810e6ab058,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
