input,building_id,w2_status,run2_status,status_flip,w2_has_lod22,run2_has_lod22,has_lod22_flip,w2_val3dity_valid,run2_val3dity_valid,val3dity_flip,w2_rf_rmse_lod22,run2_rf_rmse_lod22,rf_rmse_lod22_delta,w2_rf_roof_planes,run2_rf_roof_planes,rf_roof_planes_delta
DIM,DEBY_LOD2_4907515,success,success,false,True,True,false,True,True,false,1.938813,1.946322,0.007509,13,13,0.000000
DIM,DEBY_LOD2_4907516,success,success,false,True,True,false,True,True,false,1.630809,1.630809,0.000000,20,20,0.000000
DIM,DEBY_LOD2_4907517,success,success,false,True,True,false,True,True,false,1.543097,1.408059,-0.135038,13,14,1.000000
DIM,DEBY_LOD2_4907518,success,success,false,True,True,false,True,True,false,2.602456,2.601517,-0.000939,7,7,0.000000
DIM,DEBY_LOD2_4907519,failure,success,true,True,True,false,False,True,true,2.980909,2.318981,-0.661928,84,89,5.000000
DIM,DEBY_LOD2_4907520,failure,failure,false,True,True,false,False,False,false,1.973860,1.973857,-0.000003,7,7,0.000000
DIM,DEBY_LOD2_4907521,success,failure,true,True,True,false,True,False,true,1.888709,1.895477,0.006768,13,13,0.000000
DIM,DEBY_LOD2_4908023,success,success,false,True,True,false,True,True,false,0.683161,0.682969,-0.000192,1,1,0.000000
DIM,DEBY_LOD2_4908024,success,success,false,True,True,false,True,True,false,0.570748,0.570748,0.000000,2,2,0.000000
DIM,DEBY_LOD2_4908025,success,success,false,True,True,false,True,True,false,0.501286,0.501286,0.000000,2,2,0.000000
DIM,DEBY_LOD2_4908026,success,success,false,True,True,false,True,True,false,0.359294,0.359294,0.000000,2,2,0.000000
DIM,DEBY_LOD2_4908027,success,success,false,True,True,false,True,True,false,0.388706,0.388706,0.000000,1,1,0.000000
DIM,DEBY_LOD2_4908028,success,success,false,True,True,false,True,True,false,0.371260,0.371260,0.000000,1,1,0.000000
DIM,DEBY_LOD2_4908050,failure,failure,false,False,False,false,True,True,false,0.000000,0.000000,0.000000,1,1,0.000000
DIM,DEBY_LOD2_4908166,failure,failure,false,False,False,false,True,True,false,0.000000,0.000000,0.000000,1,1,0.000000
DIM,DEBY_LOD2_4908176,failure,failure,false,False,False,false,True,True,false,0.000000,0.000000,0.000000,2,2,0.000000
DIM,DEBY_LOD2_4908352,success,success,false,True,True,false,True,True,false,0.148800,0.148800,0.000000,2,2,0.000000
DIM,DEBY_LOD2_4908353,success,success,false,True,True,false,True,True,false,0.727265,0.700320,-0.026945,25,17,-8.000000
DIM,DEBY_LOD2_4908354,failure,failure,false,True,True,false,False,False,false,0.778107,0.623965,-0.154142,6,6,0.000000
DIM,DEBY_LOD2_4959322,success,success,false,True,True,false,True,True,false,3.148463,3.148463,0.000000,4,4,0.000000
DIM,DEBY_LOD2_4959323,success,success,false,True,True,false,True,True,false,2.980682,3.091089,0.110407,19,18,-1.000000
DIM,DEBY_LOD2_4959324,success,success,false,True,True,false,True,True,false,1.669333,1.644556,-0.024777,6,7,1.000000
DIM,DEBY_LOD2_4959325,success,success,false,True,True,false,True,True,false,2.734263,2.733941,-0.000322,76,77,1.000000
DIM,DEBY_LOD2_4959326,failure,failure,false,True,True,false,False,False,false,1.006733,1.017057,0.010324,145,145,0.000000
DIM,DEBY_LOD2_4959327,success,success,false,True,True,false,True,True,false,1.912140,1.912148,0.000008,21,21,0.000000
DIM,DEBY_LOD2_4959336,success,success,false,True,True,false,True,True,false,0.254490,0.274068,0.019578,49,49,0.000000
DIM,DEBY_LOD2_4959340,success,success,false,True,True,false,True,True,false,1.514792,1.514792,0.000000,4,4,0.000000
DIM,DEBY_LOD2_4959457,success,success,false,True,True,false,True,True,false,3.325608,3.325608,0.000000,21,21,0.000000
DIM,DEBY_LOD2_4959458,success,success,false,True,True,false,True,True,false,2.452074,2.452009,-0.000065,4,4,0.000000
DIM,DEBY_LOD2_4959459,success,success,false,True,True,false,True,True,false,1.980038,1.931736,-0.048302,28,30,2.000000
DIM,DEBY_LOD2_4959460,success,success,false,True,True,false,True,True,false,8.493636,7.613524,-0.880112,73,72,-1.000000
DIM,DEBY_LOD2_4959461,success,success,false,True,True,false,True,True,false,2.455805,2.470974,0.015169,70,58,-12.000000
DIM,DEBY_LOD2_4959463,success,success,false,True,True,false,True,True,false,1.322676,1.322735,0.000059,5,5,0.000000
DIM,DEBY_LOD2_4959464,success,success,false,True,True,false,True,True,false,1.948396,1.926683,-0.021713,14,13,-1.000000
DIM,DEBY_LOD2_4959753,success,success,false,True,True,false,True,True,false,0.905606,0.905607,0.000001,10,10,0.000000
DIM,DEBY_LOD2_4959793,success,success,false,True,True,false,True,True,false,0.111647,0.111732,0.000085,5,5,0.000000
DIM,DEBY_LOD2_60042,failure,failure,false,True,True,false,False,False,false,1.626742,1.590881,-0.035861,155,136,-19.000000
DIM,DEBY_LOD2_8573849,success,success,false,True,True,false,True,True,false,1.126075,1.130433,0.004358,56,57,1.000000
