arm,replicate,building_id,raw_source,gs_source,raw_density_pts_m2,gs_density_pts_m2,delta_density_gs_minus_raw,raw_coverage_frac,gs_coverage_frac,delta_coverage_gs_minus_raw,raw_ref_dist_rms_m,gs_ref_dist_rms_m,noise_gain_raw_minus_gs_m,raw_normal_structure,gs_normal_structure,delta_normal_modes_gs_minus_raw,raw_has_lod22,gs_has_lod22,raw_shell_bucket,gs_shell_bucket,gs_vs_raw_observation
dense,r1,DEBY_LOD2_4907198,raw_dense,gs_dense_r1,3.6381,9.4664,5.8283,0.1711,0.1488,-0.0223,3.9685,2.4460,1.5225,multi_slope,multi_slope,-2.0000,true,true,조립,조립,improved_more_axes
dense,r1,DEBY_LOD2_4907199,raw_dense,gs_dense_r1,0.0407,12.6898,12.6491,0.0025,0.1450,0.1425,8.1406,5.2977,2.8429,too_few_points,single_slope,1.0000,false,false,미조립,미조립,improved_more_axes
dense,r1,DEBY_LOD2_4907202,raw_dense,gs_dense_r1,32.5878,4.0696,-28.5182,0.3573,0.0749,-0.2824,0.8925,11.5057,-10.6132,multi_slope,single_slope,-3.0000,true,false,조립,미조립,worsened_more_axes
dense,r1,DEBY_LOD2_4908168,raw_dense,gs_dense_r1,26.0827,0.0000,-26.0827,0.3596,0.0000,-0.3596,0.2826,,,single_slope,too_few_points,-1.0000,true,false,조립,미조립,worsened_more_axes
dense,r1,DEBY_LOD2_4908178,raw_dense,gs_dense_r1,3.7121,2.0015,-1.7106,0.1256,0.0551,-0.0705,0.3788,33.9813,-33.6025,weak_structure,weak_structure,-1.0000,true,true,조립,무효·붕괴,worsened_more_axes
dense,r1,DEBY_LOD2_4908179,raw_dense,gs_dense_r1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,mixed_or_tie
dense,r1,DEBY_LOD2_60098,raw_dense,gs_dense_r1,3.4095,1.7558,-1.6537,0.3355,0.0408,-0.2947,1.1725,2.0722,-0.8997,multi_slope,multi_slope,2.0000,true,false,조립,미조립,worsened_more_axes
dense,r1,DEBY_LOD2_8568391,raw_dense,gs_dense_r1,0.0000,0.3421,0.3421,0.0000,0.0136,0.0136,,10.8430,,too_few_points,flat_single,0.0000,false,false,미조립,미조립,improved_more_axes
dense,r1,DEBY_LOD2_8568392,raw_dense,gs_dense_r1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,mixed_or_tie
dense,r2,DEBY_LOD2_108247349,raw_dense,gs_dense_r2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,mixed_or_tie
dense,r2,DEBY_LOD2_108247350,raw_dense,gs_dense_r2,0.2472,2.2246,1.9774,0.0417,0.0625,0.0208,15.7400,16.0629,-0.3229,too_few_points,weak_structure,1.0000,false,true,미조립,무효·붕괴,improved_more_axes
dense,r2,DEBY_LOD2_108247351,raw_dense,gs_dense_r2,0.0000,1.3328,1.3328,0.0000,0.0269,0.0269,,10.4894,,too_few_points,single_slope,1.0000,false,false,미조립,미조립,improved_more_axes
dense,r2,DEBY_LOD2_4907184,raw_dense,gs_dense_r2,597.5548,1211.2286,613.6738,0.9978,0.9993,0.0015,2.4193,2.7624,-0.3431,multi_slope,multi_slope,-1.0000,true,true,조립,조립,improved_more_axes
dense,r2,DEBY_LOD2_4907185,raw_dense,gs_dense_r2,21.6671,29.3077,7.6406,0.3944,0.2857,-0.1087,1.4920,3.4435,-1.9515,multi_slope,multi_slope,1.0000,true,true,조립,조립,worsened_more_axes
dense,r2,DEBY_LOD2_4907186,raw_dense,gs_dense_r2,2.8600,2.0318,-0.8282,0.2734,0.0401,-0.2333,0.8594,3.3193,-2.4599,multi_slope,single_slope,-1.0000,true,true,조립,조립,worsened_more_axes
dense,r2,DEBY_LOD2_4907188,raw_dense,gs_dense_r2,6.7397,1.3021,-5.4376,0.5015,0.0286,-0.4729,1.1212,2.5328,-1.4116,multi_slope,single_slope,-2.0000,true,true,조립,무효·붕괴,worsened_more_axes
dense,r2,DEBY_LOD2_4907194,raw_dense,gs_dense_r2,0.2209,0.1457,-0.0752,0.0353,0.0035,-0.0318,0.4538,1.8603,-1.4065,multi_slope,single_slope,-1.0000,false,false,미조립,미조립,worsened_more_axes
dense,r2,DEBY_LOD2_4907195,raw_dense,gs_dense_r2,3.8574,5.2070,1.3496,0.2873,0.0930,-0.1943,0.6511,0.6046,0.0465,multi_slope,single_slope,-1.0000,true,true,조립,조립,improved_more_axes
dense,r2,DEBY_LOD2_4907198,raw_dense,gs_dense_r2,3.6381,13.7771,10.1390,0.1711,0.1398,-0.0313,3.9685,2.8276,1.1409,multi_slope,multi_slope,-3.0000,true,true,조립,조립,improved_more_axes
dense,r2,DEBY_LOD2_4907199,raw_dense,gs_dense_r2,0.0407,1.1693,1.1286,0.0025,0.0127,0.0102,8.1406,7.6286,0.5120,too_few_points,weak_structure,2.0000,false,false,미조립,미조립,improved_more_axes
dense,r2,DEBY_LOD2_4907202,raw_dense,gs_dense_r2,32.5878,21.6504,-10.9374,0.3573,0.2200,-0.1373,0.8925,3.4963,-2.6038,multi_slope,multi_slope,1.0000,true,true,조립,조립,worsened_more_axes
dense,r2,DEBY_LOD2_4908168,raw_dense,gs_dense_r2,26.0827,25.8746,-0.2081,0.3596,0.1930,-0.1666,0.2826,0.1656,0.1170,single_slope,flat_single,0.0000,true,true,조립,조립,worsened_more_axes
dense,r2,DEBY_LOD2_4908178,raw_dense,gs_dense_r2,3.7121,46.0709,42.3588,0.1256,0.5220,0.3964,0.3788,0.4078,-0.0290,weak_structure,flat_single,0.0000,true,true,조립,무효·붕괴,improved_more_axes
dense,r2,DEBY_LOD2_4908179,raw_dense,gs_dense_r2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,mixed_or_tie
dense,r2,DEBY_LOD2_60098,raw_dense,gs_dense_r2,3.4095,1.4546,-1.9549,0.3355,0.0357,-0.2998,1.1725,1.3699,-0.1974,multi_slope,multi_slope,0.0000,true,true,조립,조립,worsened_more_axes
dense,r2,DEBY_LOD2_8568391,raw_dense,gs_dense_r2,0.0000,3.6733,3.6733,0.0000,0.0724,0.0724,,1.1328,,too_few_points,flat_single,0.0000,false,true,미조립,조립,improved_more_axes
dense,r2,DEBY_LOD2_8568392,raw_dense,gs_dense_r2,0.0000,16.2138,16.2138,0.0000,0.3333,0.3333,,1.3036,,too_few_points,flat_single,0.0000,false,true,미조립,조립,improved_more_axes
acmp,r1,DEBY_LOD2_108247349,raw_acmp,gs_acmp_r1,0.0495,0.3363,0.2868,0.0100,0.0075,-0.0025,32.8368,34.2715,-1.4347,too_few_points,weak_structure,1.0000,false,false,미조립,미조립,worsened_more_axes
