building_id,source_run,source_group,roof_planes,ref_roof_planes,model_normal_mode_count,ref_normal_mode_count,model_tilt_p50_deg,model_tilt_p90_deg,model_z_p10_p90_span_m,shape_class,has_lod22,shell_bucket,completeness,correctness,ref_rms_m,shape_note
DEBY_LOD2_108247351,gs_dense_r1,gs_dense,1,1,1,0,28.1978,28.1978,2.6672,flat_or_single_plane,true,조립,0.0000,0.0000,14.7778,observed
DEBY_LOD2_4907184,gs_dense_r1,gs_dense,10,4,7,4,24.2529,39.7179,3.8971,multi_plane,true,무효·붕괴,1.0000,0.4000,1.0413,invalid_or_collapse
DEBY_LOD2_4907185,gs_dense_r1,gs_dense,1,2,1,2,6.7351,6.7351,1.0926,flat_or_single_plane,true,조립,0.5000,1.0000,3.4092,flat_relative_to_reference
DEBY_LOD2_4907186,gs_dense_r1,gs_dense,1,2,1,2,56.6919,56.6919,15.4595,flat_or_single_plane,true,조립,0.0000,0.0000,9.4128,flat_relative_to_reference
DEBY_LOD2_4907188,gs_dense_r1,gs_dense,1,2,1,2,55.0786,55.0786,15.2445,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,9.7745,invalid_or_collapse
DEBY_LOD2_4907194,gs_dense_r1,gs_dense,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907195,gs_dense_r1,gs_dense,1,2,1,2,27.9406,27.9406,5.5086,flat_or_single_plane,true,조립,0.5000,1.0000,4.8325,flat_relative_to_reference
DEBY_LOD2_4907198,gs_dense_r1,gs_dense,1,4,1,3,18.7482,18.7482,6.0162,flat_or_single_plane,true,조립,0.2500,1.0000,2.8936,flat_relative_to_reference
DEBY_LOD2_4907199,gs_dense_r1,gs_dense,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907202,gs_dense_r1,gs_dense,0,2,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4908168,gs_dense_r1,gs_dense,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
