building_id,source_run,source_group,display_label,pair_raw,seed,replicate,footprint_area_m2,roof_point_count,density_pts_m2,coverage_frac,grid_occupied_cells,grid_total_cells,ref_lookup_miss_frac,ref_abs_dist_p50_m,ref_abs_dist_p90_m,ref_dist_rms_m,z_p10_p90_span_m,z_shift_to_reference_m,crs,normal_count,tilt_p50_deg,tilt_p90_deg,normal_mode_count,normal_structure
DEBY_LOD2_4907202,raw_acmp,raw_acmp,raw acmp,,,,160.4587,5973,37.2245,0.4743,304,641,0.0000,2.1891,2.3512,3.5007,3.7400,-45.7000,EPSG:25832,700,23.349,87.258,4,multi_slope
DEBY_LOD2_4908168,raw_acmp,raw_acmp,raw acmp,,,,28.8314,1393,48.3154,0.5351,61,114,0.0000,2.1965,2.2979,2.5453,1.6600,-45.7000,EPSG:25832,700,19.202,88.904,1,single_slope
DEBY_LOD2_4908178,raw_acmp,raw_acmp,raw acmp,,,,113.4123,97,0.8553,0.0683,31,454,0.0000,2.1582,33.7489,15.2782,35.8760,-45.7000,EPSG:25832,97,15.990,89.268,2,multi_slope
DEBY_LOD2_4908179,raw_acmp,raw_acmp,raw acmp,,,,118.2496,13,0.1099,0.0232,11,474,0.0000,13.5060,44.0740,30.3079,35.2640,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_60098,raw_acmp,raw_acmp,raw acmp,,,,195.9254,7389,37.7133,0.8393,658,784,0.0000,2.1233,2.3896,2.7469,4.2400,-45.7000,EPSG:25832,700,47.899,64.634,2,multi_slope
DEBY_LOD2_8568391,raw_acmp,raw_acmp,raw acmp,,,,55.5357,19,0.3421,0.0452,10,221,0.0000,45.3620,45.5940,45.2492,1.0100,-45.7000,EPSG:25832,19,33.657,62.436,0,single_slope
DEBY_LOD2_8568392,raw_acmp,raw_acmp,raw acmp,,,,5.7975,1,0.1725,0.0417,1,24,0.0000,1.3830,1.3830,1.3830,0.0000,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247349,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,101.1027,56,0.5539,0.0124,5,402,0.0000,0.7113,0.9179,0.6309,0.9500,-45.7000,EPSG:25832,56,76.559,77.565,1,single_slope
DEBY_LOD2_108247350,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,12.1371,0,0.0000,0.0000,0,48,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247351,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,65.2785,0,0.0000,0.0000,0,260,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
