building_id,footprint_area_m2,n_exterior_vertices,n_samples,n_views_nadir,n_views_oblique,n_views_total,median_pair_angle_deg,frac_pairs_10_60deg,median_incidence_deg,frac_views_incidence_le60,roof_obs_covered_frac,recon_score_median,recon_score_p10,roof_lowtex_frac,roof_grad_p10,roof_sat_frac,roof_periodicity,roof_lowtex_v4,lowtex_version,occlusion_frac_approx,lowtex_valid,roof_lowtex_v5,roof_grad_p10_v5,roof_sat_frac_v5,lowtex_v5_view,lowtex_v5_zenith_deg,lowtex_v5_frame_r,lowtex_v5_inframe_frac,lowtex_v5_area_px,lowtex_v5_delta_from_v4
DEBY_LOD2_4906981,1419.99,14,400,3.29,149.59,152.88,49.57,0.521,73.21,0.162,1.0,94.678,41.705,0.048,0.0295,0.0,0.266,0.662,v4a_carryover_v3_contaminated,0.0,valid,0.498,0.0059,0.0,DJI_20241217094917_0005_D.JPG,75.228,0.643,1.0,127540,-0.164
DEBY_LOD2_4906982,1385.41,64,400,9.14,122.58,131.72,29.55,0.873,76.53,0.309,1.0,193.475,159.911,0.024,0.0667,0.0052,0.327,0.241,v4a_carryover_v3_contaminated,0.0,valid,0.238,0.0111,0.0,DJI_20241217101311_0008_D.JPG,86.391,0.842,1.0,10768,-0.003
DEBY_LOD2_4906983,932.79,6,400,4.87,114.48,119.35,36.36,0.758,73.2,0.261,1.0,133.168,118.806,0.011,0.0625,0.0,0.134,0.327,v4a_carryover_v3_contaminated,0.0,valid,0.538,0.0044,0.0,DJI_20241217101357_0031_D.JPG,84.532,0.709,1.0,7443,0.211
DEBY_LOD2_4906984,246.43,4,243,4.89,123.68,128.57,35.67,0.73,65.08,0.322,1.0,141.742,130.332,0.051,0.029,0.0,0.568,0.663,v4a_carryover_v3_contaminated,1.0,valid,0.772,0.0039,0.0,DJI_20241217090817_0011_D.JPG,9.534,0.487,1.0,158245,0.109
DEBY_LOD2_4906985,875.8,8,400,3.08,104.74,107.82,49.81,0.561,83.05,0.224,1.0,83.287,71.302,0.01,0.075,0.0038,0.426,0.285,v4a_carryover_v3_contaminated,0.0,valid,0.254,0.0114,0.0074,DJI_20241217090935_0050_D.JPG,12.092,0.77,1.0,239933,-0.031
DEBY_LOD2_4906986,236.23,16,244,4.54,109.82,114.36,41.24,0.714,83.38,0.214,1.0,119.621,108.398,0.086,0.0223,0.0388,0.489,0.575,v4a_carryover_v3_contaminated,0.333,valid,0.541,0.0044,0.0004,DJI_20241217090949_0057_D.JPG,15.403,0.621,1.0,115822,-0.034
DEBY_LOD2_4906987,231.48,9,235,8.13,109.89,118.02,38.01,0.733,80.96,0.227,1.0,124.032,107.745,0.036,0.0385,0.0,0.319,0.385,v4a_carryover_v3_contaminated,0.0,valid,0.381,0.0044,0.0089,DJI_20241217090949_0057_D.JPG,5.843,0.482,1.0,119527,-0.004
DEBY_LOD2_4906988,130.99,5,130,4.95,97.45,102.4,37.65,0.815,82.0,0.202,1.0,115.552,82.597,0.023,0.0477,0.0,0.603,0.366,v4a_carryover_v3_contaminated,0.333,valid,0.335,0.0062,0.0032,DJI_20241217090953_0059_D.JPG,8.661,0.527,1.0,98368,-0.031
DEBY_LOD2_4906989,320.91,11,398,1.56,79.32,80.87,30.77,0.532,72.08,0.262,1.0,69.829,3.827,0.019,0.072,0.003,0.349,0.234,v4a_carryover_v3_contaminated,0.0,valid,0.308,0.0083,0.0,DJI_20241217101359_0032_D.JPG,86.823,0.707,1.0,15802,0.074
DEBY_LOD2_4906990,292.58,8,329,0.0,80.13,80.13,10.33,0.494,80.63,0.078,1.0,38.661,0.443,0.044,0.0415,0.028,0.531,0.352,v4a_carryover_v3_contaminated,0.0,valid,0.549,0.0044,0.0,DJI_20241217101359_0032_D.JPG,87.696,0.734,1.0,9833,0.197
DEBY_LOD2_4906991,167.68,9,165,3.01,97.05,100.05,39.56,0.767,87.45,0.095,1.0,87.63,73.199,0.034,0.0398,0.0113,0.581,0.397,v4a_carryover_v3_contaminated,0.5,valid,0.24,0.0098,0.0022,DJI_20241217090953_0059_D.JPG,15.217,0.628,1.0,116053,-0.157
DEBY_LOD2_4906997,193.58,11,226,0.0,69.33,69.33,11.61,0.571,76.48,0.066,1.0,7.707,0.174,0.093,0.0211,0.002,0.356,0.649,v4a_carryover_v3_contaminated,0.0,valid,0.285,0.0098,0.0,DJI_20241217101602_0018_D.JPG,86.785,0.787,1.0,1527,-0.364
DEBY_LOD2_4906998,326.34,10,386,0.0,62.42,62.42,15.46,0.471,63.67,0.348,1.0,22.571,0.357,0.136,0.0151,0.0387,0.512,0.598,v4a_carryover_v3_contaminated,0.0,valid,0.478,0.0044,0.0035,DJI_20241217101552_0013_D.JPG,86.598,0.755,1.0,1698,-0.12
DEBY_LOD2_4906999,221.16,14,269,0.0,64.12,64.12,5.94,0.256,61.7,0.348,1.0,1.98,0.0,0.133,0.017,0.0001,0.348,0.687,v4a_carryover_v3_contaminated,0.333,valid,0.464,0.0044,0.0,DJI_20241217101357_0031_D.JPG,86.833,0.715,1.0,8617,-0.223
DEBY_LOD2_4907000,198.25,9,242,0.0,58.15,58.15,5.23,0.199,59.8,0.522,1.0,0.513,0.0,0.061,0.0264,0.0001,0.101,0.653,v4a_carryover_v3_contaminated,0.0,valid,0.705,0.0039,0.0,DJI_20241217101335_0020_D.JPG,86.667,0.453,1.0,1554,0.052
DEBY_LOD2_4907011,194.99,13,237,0.0,67.53,67.53,4.02,0.072,62.67,0.331,1.0,0.0,0.0,0.043,0.033,0.0,0.516,0.61,v4a_carryover_v3_contaminated,0.0,valid,0.733,0.002,0.0,DJI_20241217102933_0012_D.JPG,85.146,0.781,1.0,1482,0.123
DEBY_LOD2_4907012,51.11,10,59,0.0,69.63,69.63,4.37,0.089,68.84,0.316,1.0,0.0,0.0,0.047,0.031,0.0,0.311,0.625,v4a_carryover_v3_contaminated,0.0,valid,0.658,0.002,0.0231,DJI_20241217102935_0013_D.JPG,85.683,0.631,1.0,1127,0.033
DEBY_LOD2_4907013,116.32,6,142,0.0,68.25,68.25,4.4,0.096,68.78,0.295,1.0,0.0,0.0,0.041,0.0324,0.0,0.392,0.599,v4a_carryover_v3_contaminated,0.0,valid,0.392,0.002,0.0,DJI_20241217103545_0062_D.JPG,85.794,0.645,1.0,971,-0.207
DEBY_LOD2_4907014,149.95,10,189,0.0,73.46,73.46,4.72,0.134,59.29,0.538,1.0,0.0,0.0,0.061,0.0298,0.0306,0.114,0.471,v4a_carryover_v3_contaminated,0.0,valid,0.389,0.0059,0.0075,DJI_20241217103459_0039_D.JPG,85.665,0.641,1.0,671,-0.082
DEBY_LOD2_4907015,168.43,8,206,0.0,74.87,74.87,4.89,0.178,60.12,0.494,1.0,0.0,0.0,0.155,0.0147,0.0203,0.369,0.635,v4a_carryover_v3_contaminated,0.0,valid,0.291,0.0098,0.0,DJI_20241217103553_0066_D.JPG,84.873,0.781,1.0,1002,-0.344
DEBY_LOD2_4907016,282.21,11,361,0.0,71.43,71.43,5.86,0.31,55.57,0.606,1.0,5.989,0.0,0.742,0.0,0.0,0.408,0.993,v4a_carryover_v3_contaminated,0.0,valid,0.585,0.0044,0.0003,DJI_20241217095143_0078_D.JPG,86.714,0.498,1.0,12301,-0.408
DEBY_LOD2_4907017,287.67,8,371,0.0,75.06,75.06,6.85,0.381,54.91,0.607,1.0,21.987,0.0,0.005,0.0941,0.0009,0.146,0.171,v4a_carryover_v3_contaminated,0.0,valid,0.625,0.002,0.0,DJI_20241217101335_0020_D.JPG,87.086,0.808,1.0,4138,0.454
DEBY_LOD2_4907018,257.3,15,316,0.0,75.53,75.53,33.46,0.423,65.62,0.381,1.0,51.317,7.699,0.184,0.0114,0.0103,0.364,0.657,v4a_carryover_v3_contaminated,0.0,valid,0.846,0.0028,0.0,DJI_20241217101335_0020_D.JPG,87.367,0.671,1.0,3559,0.189
DEBY_LOD2_4907019,206.42,6,245,0.0,81.11,81.11,12.9,0.541,71.35,0.175,1.0,0.318,0.0,0.039,0.0336,0.0002,0.81,0.701,v4a_carryover_v3_contaminated,0.0,valid,0.671,0.0059,0.0,DJI_20241217103549_0064_D.JPG,84.752,0.798,1.0,432,-0.03
DEBY_LOD2_4907020,330.56,9,400,0.0,84.87,84.87,21.94,0.452,73.21,0.241,1.0,95.943,0.276,0.105,0.0191,0.0,0.395,0.561,v4a_carryover_v3_contaminated,0.0,valid,0.518,0.0044,0.0,DJI_20241217101357_0031_D.JPG,86.586,0.681,1.0,20036,-0.043
DEBY_LOD2_4907021,249.03,26,256,0.0,98.5,98.5,25.55,0.554,83.5,0.148,1.0,72.404,4.032,0.066,0.0253,0.0,0.904,0.762,v4a_carryover_v3_contaminated,0.0,valid,0.239,0.0106,0.009,DJI_20241217084757_0162_D.JPG,61.739,0.786,1.0,6783,-0.523
DEBY_LOD2_4907022,240.91,29,242,0.0,93.25,93.25,24.15,0.606,84.54,0.125,1.0,64.384,16.534,0.032,0.0456,0.0116,0.813,0.321,v4a_carryover_v3_contaminated,0.0,valid,0.706,0.0039,0.0,DJI_20241217095143_0078_D.JPG,86.536,0.477,1.0,2274,0.385
DEBY_LOD2_4907023,181.23,6,220,0.0,100.86,100.86,16.68,0.648,69.61,0.285,1.0,76.869,1.329,0.116,0.018,0.0,0.673,0.664,v4a_carryover_v3_contaminated,0.0,valid,0.338,0.0071,0.0,DJI_20241217101311_0008_D.JPG,86.488,0.742,1.0,18300,-0.326
DEBY_LOD2_4907024,289.03,7,351,0.0,90.2,90.2,21.14,0.553,71.79,0.252,1.0,2.834,1.119,0.07,0.0251,0.0,0.756,0.63,v4a_carryover_v3_contaminated,0.0,valid,0.806,0.002,0.0,DJI_20241217102531_0018_D.JPG,86.319,0.619,1.0,8330,0.176
DEBY_LOD2_4907025,468.75,25,400,0.07,110.61,110.68,20.64,0.624,63.31,0.407,1.0,108.33,0.0,0.081,0.0235,0.0297,0.649,0.566,v4a_carryover_v3_contaminated,0.0,valid,0.604,0.0028,0.003,DJI_20241217102531_0018_D.JPG,85.651,0.583,1.0,30119,0.038
DEBY_LOD2_4907026,132.69,8,151,0.0,101.67,101.67,41.56,0.373,66.07,0.245,1.0,38.92,26.328,0.09,0.0217,0.0005,0.585,0.785,v4a_carryover_v3_contaminated,0.0,valid,0.428,0.0059,0.0176,DJI_20241217102531_0018_D.JPG,86.256,0.526,1.0,11573,-0.357
DEBY_LOD2_4907027,264.34,9,319,0.0,89.18,89.18,9.67,0.299,66.2,0.263,1.0,11.702,5.473,0.078,0.0233,0.0042,0.141,0.55,v4a_carryover_v3_contaminated,0.0,valid,0.708,0.0039,0.0262,DJI_20241217095143_0078_D.JPG,86.657,0.582,1.0,17263,0.158
DEBY_LOD2_4907028,199.66,8,240,0.0,96.71,96.71,10.64,0.329,65.06,0.286,1.0,23.884,4.631,0.001,0.2522,0.0188,0.205,0.038,v4a_carryover_v3_contaminated,0.0,valid,0.708,0.002,0.0856,DJI_20241217103501_0040_D.JPG,84.19,0.722,1.0,1413,0.67
DEBY_LOD2_4907029,425.7,10,400,0.0,78.89,78.89,9.27,0.423,72.0,0.061,1.0,0.769,0.0,0.025,0.0423,0.0,0.877,0.624,v4a_carryover_v3_contaminated,0.0,valid,0.538,0.0055,0.0007,DJI_20241217095143_0078_D.JPG,86.333,0.601,1.0,5693,-0.086
DEBY_LOD2_4907030,177.42,16,220,0.0,86.9,86.9,6.19,0.215,67.07,0.228,1.0,3.245,1.13,0.023,0.0568,0.0001,0.339,0.281,v4a_carryover_v3_contaminated,0.0,valid,0.644,0.0039,0.0,DJI_20241217101558_0016_D.JPG,85.964,0.837,1.0,7081,0.363
DEBY_LOD2_4907031,163.72,9,195,0.0,80.09,80.09,5.38,0.168,69.56,0.199,1.0,0.912,0.0,0.035,0.0391,0.0026,0.187,0.462,v4a_carryover_v3_contaminated,0.0,valid,0.578,0.0055,0.0,DJI_20241217102931_0011_D.JPG,83.914,0.823,1.0,4553,0.116
DEBY_LOD2_4907032,375.52,14,400,0.0,68.17,68.17,4.39,0.088,68.74,0.216,1.0,0.0,0.0,0.009,0.0889,0.0162,0.414,0.205,v4a_carryover_v3_contaminated,0.0,valid,0.519,0.0044,0.0069,DJI_20241217095143_0078_D.JPG,86.139,0.813,1.0,19198,0.314
DEBY_LOD2_4907033,128.95,12,160,0.0,68.57,68.57,4.77,0.171,70.11,0.251,1.0,0.0,0.0,0.024,0.0454,0.0001,0.401,0.411,v4a_carryover_v3_contaminated,0.0,valid,0.719,0.0044,0.0,DJI_20241217102931_0011_D.JPG,84.315,0.737,1.0,3575,0.308
DEBY_LOD2_4907034,549.5,11,400,0.0,68.86,68.86,3.77,0.018,64.89,0.321,0.713,0.0,0.0,0.013,0.0712,0.003,0.579,0.273,v4a_carryover_v3_contaminated,0.0,valid,0.497,0.0044,0.007,DJI_20241217095143_0078_D.JPG,86.536,0.801,1.0,18914,0.224
DEBY_LOD2_4907035,325.26,9,400,0.0,68.6,68.6,5.36,0.216,71.33,0.166,1.0,0.0,0.0,0.035,0.0366,0.0,0.097,0.455,v4a_carryover_v3_contaminated,0.0,valid,0.517,0.0044,0.0004,DJI_20241217102937_0014_D.JPG,84.762,0.764,1.0,31515,0.062
DEBY_LOD2_4907036,187.85,8,234,0.0,66.05,66.05,5.01,0.176,70.7,0.225,1.0,0.0,0.0,0.026,0.041,0.0087,0.067,0.386,v4a_carryover_v3_contaminated,0.0,valid,0.549,0.0044,0.0066,DJI_20241217102937_0014_D.JPG,84.245,0.825,1.0,26339,0.163
DEBY_LOD2_4907156,295.44,13,363,0.0,73.81,73.81,6.96,0.337,64.0,0.322,1.0,0.0,0.0,0.028,0.0422,0.0067,0.55,0.333,v4a_carryover_v3_contaminated,0.0,valid,0.534,0.0044,0.0,DJI_20241217103611_0075_D.JPG,83.694,0.82,1.0,1291,0.201
DEBY_LOD2_4907164,322.77,13,400,0.0,104.47,104.47,9.39,0.446,55.33,0.736,1.0,19.121,0.0,0.033,0.0392,0.0,0.721,0.546,v4a_carryover_v3_contaminated,0.0,valid,0.364,0.0044,0.0092,DJI_20241217102937_0014_D.JPG,81.551,0.267,1.0,51139,-0.182
DEBY_LOD2_4907165,262.12,9,318,0.0,130.75,130.75,18.61,0.602,75.95,0.124,1.0,65.431,50.717,0.059,0.0304,0.0,0.115,0.44,v4a_carryover_v3_contaminated,0.222,valid,0.523,0.0044,0.0001,DJI_20241217102937_0014_D.JPG,78.026,0.313,1.0,39637,0.083
DEBY_LOD2_4907166,160.19,9,214,0.0,87.78,87.78,9.75,0.478,51.69,0.793,1.0,6.633,0.0,0.094,0.0206,0.0,0.102,0.447,v4a_carryover_v3_contaminated,0.0,valid,0.448,0.0059,0.0148,DJI_20241217102937_0014_D.JPG,81.358,0.114,1.0,51432,0.001
DEBY_LOD2_4907167,203.19,8,273,0.0,80.26,80.26,9.92,0.496,53.61,0.745,1.0,0.09,0.0,0.098,0.0203,0.0073,0.078,0.593,v4a_carryover_v3_contaminated,0.0,valid,0.648,0.0044,0.0048,DJI_20241217102937_0014_D.JPG,83.357,0.275,1.0,64389,0.055
