image_idx,image_name,backend,align_a,align_b,mvs_valid_pixels,residual_abs_median_m,residual_abs_p90_m,warp_amp_plane_m,warp_amp_quadratic_m,metric_depth,mono_normal_world
33,DJI_20241217084715_0141_D.JPG,Depth Anything V2 Small vits,-8.67713755,79.51116552,746551,2.7929,8.3612,6.0906,6.7328,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084715_0141_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084715_0141_D.npy
34,DJI_20241217084717_0142_D.JPG,Depth Anything V2 Small vits,-7.06623777,76.55349232,747285,2.9141,9.9109,5.6333,7.8416,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084717_0142_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084717_0142_D.npy
35,DJI_20241217084719_0143_D.JPG,Depth Anything V2 Small vits,-5.37702514,76.33518158,626298,2.6116,6.5136,3.5630,5.5029,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084719_0143_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084719_0143_D.npy
36,DJI_20241217084721_0144_D.JPG,Depth Anything V2 Small vits,-5.41724435,76.51760039,657944,2.4105,6.7854,4.0125,6.1583,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084721_0144_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084721_0144_D.npy
37,DJI_20241217084723_0145_D.JPG,Depth Anything V2 Small vits,-5.21555040,76.02229596,631113,2.7654,7.4146,6.7980,7.3203,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084723_0145_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084723_0145_D.npy
38,DJI_20241217084725_0146_D.JPG,Depth Anything V2 Small vits,-5.86723408,78.24401218,438278,1.9517,3.4872,1.8398,3.4864,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084725_0146_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084725_0146_D.npy
39,DJI_20241217084727_0147_D.JPG,Depth Anything V2 Small vits,-7.22625811,79.87529139,421939,1.2362,4.5884,1.9815,2.7310,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084727_0147_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084727_0147_D.npy
40,DJI_20241217084729_0148_D.JPG,Depth Anything V2 Small vits,-7.29695187,79.49663559,370884,1.3374,5.6562,3.6352,4.3731,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084729_0148_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084729_0148_D.npy
41,DJI_20241217084731_0149_D.JPG,Depth Anything V2 Small vits,-5.58734447,71.81413975,217017,1.7609,5.4766,2.3397,6.9295,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084731_0149_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084731_0149_D.npy
42,DJI_20241217084733_0150_D.JPG,Depth Anything V2 Small vits,-6.33677011,72.07787004,187173,2.1652,5.6996,3.4422,7.2436,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084733_0150_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084733_0150_D.npy
43,DJI_20241217084735_0151_D.JPG,Depth Anything V2 Small vits,-5.32410951,70.54896165,151982,2.2082,9.0842,3.5058,7.7005,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084735_0151_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084735_0151_D.npy
44,DJI_20241217084737_0152_D.JPG,Depth Anything V2 Small vits,-2.58712373,60.73931754,60211,1.4438,3.1489,0.9215,2.8596,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084737_0152_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084737_0152_D.npy
45,DJI_20241217084739_0153_D.JPG,Depth Anything V2 Small vits,-1.63487234,56.06337341,38547,4.0292,17.4107,6.7050,7.3184,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084739_0153_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084739_0153_D.npy
46,DJI_20241217084829_0178_D.JPG,Depth Anything V2 Small vits,-4.94375909,78.15390979,30695,4.5415,13.6354,13.1484,16.8038,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084829_0178_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084829_0178_D.npy
47,DJI_20241217084831_0179_D.JPG,Depth Anything V2 Small vits,-5.88648001,77.61022025,112510,2.3383,5.1943,2.2589,5.4317,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084831_0179_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084831_0179_D.npy
48,DJI_20241217084833_0180_D.JPG,Depth Anything V2 Small vits,-3.59266741,68.78655555,275874,8.1877,10.9931,8.6090,17.1695,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084833_0180_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084833_0180_D.npy
49,DJI_20241217084835_0181_D.JPG,Depth Anything V2 Small vits,-4.11286966,69.62338546,360216,8.9409,10.6924,9.4220,16.0694,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084835_0181_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084835_0181_D.npy
50,DJI_20241217084837_0182_D.JPG,Depth Anything V2 Small vits,-4.03429747,69.95368594,434458,9.2209,11.2984,10.9736,15.2083,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084837_0182_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084837_0182_D.npy
51,DJI_20241217084839_0183_D.JPG,Depth Anything V2 Small vits,-6.21320617,74.52576682,737378,7.1619,9.3903,10.6308,11.2379,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084839_0183_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084839_0183_D.npy
52,DJI_20241217084841_0184_D.JPG,Depth Anything V2 Small vits,-7.20929845,77.26682190,913110,5.9149,8.8440,9.9266,9.9826,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084841_0184_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084841_0184_D.npy
53,DJI_20241217084843_0185_D.JPG,Depth Anything V2 Small vits,-7.92411146,79.22758122,1032417,5.2821,8.3716,8.7191,9.7166,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084843_0185_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084843_0185_D.npy
54,DJI_20241217084845_0186_D.JPG,Depth Anything V2 Small vits,-7.02024650,77.21842886,1103172,4.1764,8.8003,6.6652,7.5290,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084845_0186_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084845_0186_D.npy
55,DJI_20241217084847_0187_D.JPG,Depth Anything V2 Small vits,-6.93928993,76.95307184,1139831,4.1834,7.4979,5.5505,7.0644,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084847_0187_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084847_0187_D.npy
