family,arm,replicate,run_name,building_id,pk_target,has_lod22,pred_direction_mode_count,ref_direction_mode_count,mode_count_delta,pred_mode_azimuths_deg,ref_mode_azimuths_deg,azimuth_min_abs_delta_deg,azimuth_within_25deg,mode_ge1_and_azimuth_within_25deg,pred_roof_face_count,ref_roof_face_count,pred_sloped_face_count,ref_sloped_face_count,mode_definition,cityjson
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4907194,false,false,0,2,-2,,69.6;249.6,,false,false,0,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4907195,false,true,1,2,-1,305.9,69.0;249.0,56.9000,false,false,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4907198,false,true,2,2,0,299.8;336.3,68.8;248.8,51.0000,false,false,3,4,3,3,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4907199,false,true,1,0,1,348.7,,,false,false,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4907202,false,false,0,0,0,,,,false,false,0,2,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4908168,false,false,0,1,-1,,332.1,,false,false,0,1,0,1,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4908178,false,true,1,2,-1,233.4,158.7;338.7,74.7000,false,false,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4908179,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_60098,true,true,1,2,-1,269.8,68.9;248.9,20.9000,true,true,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_8568391,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_8568392,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_108247349,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_108247350,false,true,1,0,1,323.0,,,false,false,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_108247351,false,true,1,0,1,336.5,,,false,false,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4907184,false,true,1,4,-3,327.6,67.4;157.6;247.4;337.6,10.0000,true,true,6,4,5,4,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4907185,true,true,1,2,-1,235.2,68.8;248.8,13.6000,true,true,2,2,2,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4907186,false,false,0,2,-2,,68.6;248.6,,false,false,0,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
s3a,s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,DEBY_LOD2_4907188,false,false,0,2,-2,,68.8;248.8,,false,false,0,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r2_run_1.city.json
