setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907186,257,673,0.3818722139673105
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907188,183,664,0.2756024096385542
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907194,321,850,0.3776470588235294
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907195,469,710,0.6605633802816901
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907198,786,1438,0.5465924895688457
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907199,61,393,0.15521628498727735
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907202,300,641,0.46801872074882994
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908168,39,114,0.34210526315789475
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908178,84,454,0.18502202643171806
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908179,1,474,0.002109704641350211
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568391,49,221,0.22171945701357465
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568392,0,24,0.0
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247349,2,402,0.004975124378109453
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247350,4,48,0.08333333333333333
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247351,56,260,0.2153846153846154
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_60098,98,784,0.125
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907185,228,644,0.35403726708074534
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907186,79,673,0.11738484398216939
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907188,33,664,0.04969879518072289
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907194,20,850,0.023529411764705882
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907195,183,710,0.2577464788732394
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907198,491,1438,0.34144645340751045
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907199,49,393,0.12468193384223919
