building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m
DEBY_LOD2_108247351,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),true,true,success,success,True,False,1,1,1,0,0.0000,0.0000,,15.0751,17.9439,260,2.551575,조립,false,18.3340
DEBY_LOD2_4907184,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,high,high,not_reviewed,high,none,true,false,failure,val3dity_invalid,True,False,17,66,4,4,1.0000,0.2353,0.5529,2.5692,17.8472,1371,0.608917,무효·붕괴,false,18.3340
DEBY_LOD2_4907185,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,2,13,2,2,1.0000,1.0000,0.4636,3.5820,6.3573,642,4.377320,조립,false,18.3340
DEBY_LOD2_4907186,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,1,2,0,0.0000,0.0000,,14.6121,34.4806,674,0.825543,조립,false,18.3340
DEBY_LOD2_4907188,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907194,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,1,2,0,0.0000,0.0000,,12.6847,25.2217,850,6.487740,무효·붕괴,false,18.3340
DEBY_LOD2_4907195,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,6,2,1,0.5000,1.0000,0.4447,6.8449,15.1412,710,3.069189,조립,false,18.3340
DEBY_LOD2_4907198,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,1,14,4,1,0.2500,1.0000,0.3814,3.6231,6.2548,1200,2.865139,조립,false,18.3340
DEBY_LOD2_4907199,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907202,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,2,2,1,0.5000,1.0000,0.8691,1.1202,2.8046,641,0.815628,조립,false,18.3340
DEBY_LOD2_4908168,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
