family,arm,band,z_min,z_max,n_gaussians,x_min,x_max,y_min,y_max,z_p50,opacity_p50,opacity_p95,ckpt
corrected_original,sparse,z_hist_2m,528.0,530.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,530.0,532.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,532.0,534.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,534.0,536.0,7,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,536.0,538.0,2,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,538.0,540.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,540.0,542.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,542.0,544.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,544.0,546.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,546.0,548.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,548.0,550.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,550.0,552.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,552.0,554.0,41,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,554.0,556.0,15,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,556.0,558.0,8,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,558.0,560.0,182,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,560.0,562.0,1923,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,562.0,564.0,768,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,564.0,566.0,1160,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,566.0,568.0,2882,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,568.0,570.0,5091,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,570.0,572.0,8453,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,572.0,574.0,9714,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,574.0,576.0,14710,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,576.0,578.0,31706,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,578.0,580.0,59485,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,580.0,582.0,86646,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,582.0,584.0,57337,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,584.0,586.0,41254,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,586.0,588.0,32860,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,588.0,590.0,20184,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,590.0,592.0,24858,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
