arm,base_coef,ci_high,ci_low,coef,coef_delta_from_base,fit_type,n,note,ordinary_coef,outcome,outcome_kind,predictor,robust_coef,se,sign_flip_vs_base,sign_mismatch,spec,status,variant
raw_lidar,none,-0.234475,-1.360612,-0.797543,none,logistic,178,none,none,val3dity_valid,binary,fallback_clip_source,none,0.287280,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.283117,0.025593,0.154355,none,huber_rlm,178,none,none,rf_rmse_lod22,continuous,pt_density_m2_reg,none,0.065695,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,-0.005081,-0.215923,-0.110502,none,huber_rlm,178,none,none,rf_rmse_lod22,continuous,coverage_frac_reg,none,0.053786,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.466632,0.210368,0.338500,none,huber_rlm,178,none,none,rf_rmse_lod22,continuous,local_plane_rms_m,none,0.065373,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.079924,-0.149836,-0.034956,none,huber_rlm,178,none,none,rf_rmse_lod22,continuous,floater_frac,none,0.058612,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.122495,-0.091520,0.015488,none,huber_rlm,178,none,none,rf_rmse_lod22,continuous,label_proxy_frac_all,none,0.054596,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.106894,-0.123120,-0.008113,none,huber_rlm,178,none,none,rf_rmse_lod22,continuous,median_incidence_deg,none,0.058677,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.182379,-0.079612,0.051384,none,huber_rlm,178,none,none,rf_rmse_lod22,continuous,median_pair_angle_deg,none,0.066834,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.531490,0.193448,0.362469,none,huber_rlm,178,none,none,rf_rmse_lod22,continuous,n_views_nadir,none,0.086235,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,-0.177925,-0.541202,-0.359564,none,huber_rlm,178,none,none,rf_rmse_lod22,continuous,recon_score_median,none,0.092673,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.202138,-0.021563,0.090288,none,huber_rlm,178,none,none,rf_rmse_lod22,continuous,fallback_clip_source,none,0.057066,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.097107,-0.086622,0.005242,none,huber_rlm,178,none,none,rf_roof_planes,continuous,pt_density_m2_reg,none,0.046870,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,-0.136728,-0.288091,-0.212409,none,huber_rlm,178,none,none,rf_roof_planes,continuous,coverage_frac_reg,none,0.038613,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.127546,-0.053060,0.037243,none,huber_rlm,178,none,none,rf_roof_planes,continuous,local_plane_rms_m,none,0.046073,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.013629,-0.150430,-0.068400,none,huber_rlm,178,none,none,rf_roof_planes,continuous,floater_frac,none,0.041852,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.181976,0.016668,0.099322,none,huber_rlm,178,none,none,rf_roof_planes,continuous,label_proxy_frac_all,none,0.042170,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,-0.070513,-0.242523,-0.156518,none,huber_rlm,178,none,none,rf_roof_planes,continuous,median_incidence_deg,none,0.043880,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
