source_run,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907194,7,850,0.00823529411764706
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907198,187,1438,0.13004172461752433
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907202,118,641,0.18408736349453977
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_60098,38,784,0.04846938775510204
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568392,0,24,0.0
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247349,0,402,0.0
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907188,28,664,0.04216867469879518
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908179,0,474,0.0
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907199,44,393,0.11195928753180662
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907184,1437,1352,1.0
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907185,200,644,0.3105590062111801
