building_id,footprint_area_m2,small_lt50_candidate,texture_low_gradient_fraction,texture_threshold,texture_sufficient,mast3r_correspondence_count,correspondence_threshold,correspondence_at_or_above_threshold,outline_inframe_frac_max,outline_valid_pixel_count_max,outline_inframe_threshold,outline_pixel_threshold,outline_observable,formula_assignment,map_assignment,assignment_record_status,calibration_seed,calibration_or_validation,dense_assembled,projection_reference_height_used,crs,learning_runs_started
DEBY_LOD2_4907000,198.246000,false,0.705000,0.721000,true,0,6.000000,false,1.000000,116,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907011,194.988000,false,0.733000,0.721000,false,0,6.000000,false,1.000000,114,0.999999,21.000000,true,2층-경계,2층-경계,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907012,51.113000,false,0.658000,0.721000,true,11,6.000000,true,1.000000,67,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4907013,116.320000,false,0.392000,0.721000,true,21,6.000000,true,1.000000,88,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4907014,149.949000,false,0.389000,0.721000,true,0,6.000000,false,1.000000,99,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4907015,168.434000,false,0.291000,0.721000,true,0,6.000000,false,1.000000,106,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4907016,282.211000,false,0.585000,0.721000,true,0,6.000000,false,1.000000,142,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4907017,287.672000,false,0.625000,0.721000,true,0,6.000000,false,1.000000,144,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907018,257.297000,false,0.846000,0.721000,false,0,6.000000,false,1.000000,134,0.999999,21.000000,true,2층-경계,2층-경계,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907019,206.424000,false,0.671000,0.721000,true,0,6.000000,false,1.000000,119,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4907020,330.555000,false,0.518000,0.721000,true,0,6.000000,false,1.000000,158,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907021,249.031000,false,0.239000,0.721000,true,0,6.000000,false,1.000000,133,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4907022,240.906000,false,0.706000,0.721000,true,0,6.000000,false,1.000000,131,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4907023,181.232000,false,0.338000,0.721000,true,0,6.000000,false,1.000000,109,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907024,289.031000,false,0.806000,0.721000,false,0,6.000000,false,1.000000,144,0.999999,21.000000,true,2층-경계,2층-경계,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907025,468.750000,false,0.604000,0.721000,true,175,6.000000,true,1.000000,202,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907026,132.693000,false,0.428000,0.721000,true,0,6.000000,false,1.000000,94,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907027,264.336000,false,0.708000,0.721000,true,0,6.000000,false,1.000000,136,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4907028,199.660000,false,0.708000,0.721000,true,12,6.000000,true,1.000000,115,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907029,425.699000,false,0.538000,0.721000,true,0,6.000000,false,1.000000,201,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907030,177.418000,false,0.644000,0.721000,true,0,6.000000,false,1.000000,110,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4907031,163.719000,false,0.578000,0.721000,true,0,6.000000,false,1.000000,103,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4907032,375.523000,false,0.519000,0.721000,true,0,6.000000,false,1.000000,183,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4907033,128.949000,false,0.719000,0.721000,true,0,6.000000,false,1.000000,91,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4907034,549.504000,false,0.497000,0.721000,true,0,6.000000,false,1.000000,251,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
