building_id,group_new,view_rank,view_idx,image_name,visibility_score,projected_area_px2,projected_roof_samples,roof_height_error_abs_median_m,roof_height_error_abs_p90_m,signed_height_error_median_m,roof_depth_error_abs_median_m,mono_crop_depth_step_p90_p10_m,ref_roof_z_span_p90_p10_m,metric_depth
DEBY_LOD2_4907199,입력 한계 5동/무늬없음·관측됨 3,4,66,DJI_20241217084909_0198_D.JPG,0.54272943,22422.32,175,12.1711,12.9877,12.1711,57.5033,3.7540,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084909_0198_D.npy
DEBY_LOD2_4907199,입력 한계 5동/무늬없음·관측됨 3,5,57,DJI_20241217084851_0189_D.JPG,0.53510672,20625.15,175,15.6773,16.5380,15.6773,61.6221,15.1025,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084851_0189_D.npy
DEBY_LOD2_8568391,입력 한계 5동/무늬없음·관측됨 3,1,146,DJI_20241217095503_0034_D.JPG,0.54583970,23147.97,96,3.6606,3.9046,-3.6606,38.5784,2.1543,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095503_0034_D.npy
DEBY_LOD2_8568391,입력 한계 5동/무늬없음·관측됨 3,2,161,DJI_20241217095533_0049_D.JPG,0.52611856,21283.60,99,0.4103,0.4654,-0.3916,44.4290,1.2160,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095533_0049_D.npy
DEBY_LOD2_8568391,입력 한계 5동/무늬없음·관측됨 3,3,117,DJI_20241217095139_0076_D.JPG,0.49194563,8313.88,95,7.8884,9.1449,-7.8884,46.2068,12.7996,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095139_0076_D.npy
DEBY_LOD2_8568391,입력 한계 5동/무늬없음·관측됨 3,4,134,DJI_20241217095439_0022_D.JPG,0.47127176,23169.13,99,4.0241,4.1737,4.0241,46.4073,5.9758,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095439_0022_D.npy
DEBY_LOD2_8568391,입력 한계 5동/무늬없음·관측됨 3,5,116,DJI_20241217095137_0075_D.JPG,0.45628848,7120.84,99,1.4440,1.5360,-1.4440,57.4071,2.9370,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095137_0075_D.npy
DEBY_LOD2_8568392,입력 한계 5동/무늬없음·관측됨 3,1,136,DJI_20241217095443_0024_D.JPG,0.22039040,2213.38,10,4.2504,4.3821,4.2504,44.4718,2.3712,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095443_0024_D.npy
DEBY_LOD2_8568392,입력 한계 5동/무늬없음·관측됨 3,2,133,DJI_20241217095437_0021_D.JPG,0.19847792,1771.42,9,5.2305,5.3405,5.2305,45.1950,9.5172,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095437_0021_D.npy
DEBY_LOD2_8568392,입력 한계 5동/무늬없음·관측됨 3,3,161,DJI_20241217095533_0049_D.JPG,0.17705231,1971.65,10,0.0648,0.0958,-0.0648,44.9101,0.4362,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095533_0049_D.npy
DEBY_LOD2_8568392,입력 한계 5동/무늬없음·관측됨 3,4,146,DJI_20241217095503_0034_D.JPG,0.16682507,2462.67,10,2.5657,3.7474,-2.5657,39.9519,2.1732,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095503_0034_D.npy
DEBY_LOD2_8568392,입력 한계 5동/무늬없음·관측됨 3,5,134,DJI_20241217095439_0022_D.JPG,0.15169917,2129.86,10,3.9290,3.9615,3.9290,46.8445,3.2826,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095439_0022_D.npy
DEBY_LOD2_60098,GS만 실패 5동,1,161,DJI_20241217095533_0049_D.JPG,0.71795702,88707.90,350,16.4722,19.2196,-16.4722,28.1967,10.5918,5.3265,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095533_0049_D.npy
DEBY_LOD2_60098,GS만 실패 5동,2,146,DJI_20241217095503_0034_D.JPG,0.69325318,39362.92,102,6.3855,16.8778,6.3855,46.8974,27.5980,5.3265,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095503_0034_D.npy
DEBY_LOD2_60098,GS만 실패 5동,3,160,DJI_20241217095531_0048_D.JPG,0.65448291,93263.81,350,11.5500,14.2843,-11.5500,35.0346,9.1048,5.3265,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095531_0048_D.npy
DEBY_LOD2_60098,GS만 실패 5동,4,62,DJI_20241217084901_0194_D.JPG,0.65436918,26407.72,280,5.4185,8.2155,5.4185,50.7301,3.9379,5.3265,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084901_0194_D.npy
DEBY_LOD2_60098,GS만 실패 5동,5,58,DJI_20241217084853_0190_D.JPG,0.65041952,49980.19,350,10.8602,14.9549,-10.8602,34.7434,18.1937,5.3265,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084853_0190_D.npy
DEBY_LOD2_4907186,GS만 실패 5동,1,53,DJI_20241217084843_0185_D.JPG,0.71091560,39248.94,300,15.0002,18.6937,-15.0002,30.7852,23.1104,5.4536,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084843_0185_D.npy
DEBY_LOD2_4907186,GS만 실패 5동,2,160,DJI_20241217095531_0048_D.JPG,0.68146758,77308.41,300,11.3722,14.2344,-11.3722,35.9085,8.7988,5.4536,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095531_0048_D.npy
DEBY_LOD2_4907186,GS만 실패 5동,3,52,DJI_20241217084841_0184_D.JPG,0.64749419,24281.03,208,15.9083,18.6939,-15.9083,29.9198,21.5820,5.4536,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084841_0184_D.npy
DEBY_LOD2_4907186,GS만 실패 5동,4,54,DJI_20241217084845_0186_D.JPG,0.61379648,36432.50,300,13.6480,16.7678,-13.6480,32.0960,20.1538,5.4536,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084845_0186_D.npy
DEBY_LOD2_4907186,GS만 실패 5동,5,55,DJI_20241217084847_0187_D.JPG,0.59605518,31596.88,290,5.3699,7.7330,-4.3539,41.3443,17.5537,5.4536,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084847_0187_D.npy
DEBY_LOD2_4907188,GS만 실패 5동,1,160,DJI_20241217095531_0048_D.JPG,0.61609683,35817.41,199,8.9507,10.7419,-8.9507,39.0237,6.8865,3.3766,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095531_0048_D.npy
DEBY_LOD2_4907188,GS만 실패 5동,2,53,DJI_20241217084843_0185_D.JPG,0.59705307,17207.07,160,13.8606,16.2586,-13.8606,31.9063,11.4799,3.3766,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084843_0185_D.npy
DEBY_LOD2_4907188,GS만 실패 5동,3,52,DJI_20241217084841_0184_D.JPG,0.55011876,11057.39,106,14.2943,15.9374,-14.2943,31.5079,4.1943,3.3766,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084841_0184_D.npy
DEBY_LOD2_4907188,GS만 실패 5동,4,54,DJI_20241217084845_0186_D.JPG,0.48440812,14706.63,106,7.7489,14.2019,-7.7489,38.0129,16.3837,3.3766,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084845_0186_D.npy
DEBY_LOD2_4907188,GS만 실패 5동,5,354,DJI_20241217102707_0009_D.JPG,0.47018811,15104.79,298,6.5163,8.0772,6.5163,102.3547,1.1207,3.3766,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102707_0009_D.npy
DEBY_LOD2_4907194,GS만 실패 5동,1,135,DJI_20241217095441_0023_D.JPG,0.75601195,60934.56,376,2.6060,3.9767,-2.6060,46.5665,4.5537,3.6068,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095441_0023_D.npy
DEBY_LOD2_4907194,GS만 실패 5동,2,160,DJI_20241217095531_0048_D.JPG,0.65123764,47129.42,249,1.0060,1.8262,-0.0593,48.5826,4.7141,3.6068,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095531_0048_D.npy
DEBY_LOD2_4907194,GS만 실패 5동,3,56,DJI_20241217084849_0188_D.JPG,0.60421857,19490.88,142,7.1118,15.9621,-7.1118,38.6886,19.4488,3.6068,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084849_0188_D.npy
DEBY_LOD2_4907194,GS만 실패 5동,4,55,DJI_20241217084847_0187_D.JPG,0.58691964,14332.58,126,15.7690,17.7274,-15.7690,30.0219,15.3452,3.6068,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084847_0187_D.npy
DEBY_LOD2_4907194,GS만 실패 5동,5,354,DJI_20241217102707_0009_D.JPG,0.52367348,17595.43,376,4.9700,6.6436,4.9700,100.8478,0.9984,3.6068,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102707_0009_D.npy
DEBY_LOD2_4907195,GS만 실패 5동,1,160,DJI_20241217095531_0048_D.JPG,0.71019889,85462.49,316,1.5406,3.4349,-1.5278,46.3911,5.3271,4.8363,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095531_0048_D.npy
DEBY_LOD2_4907195,GS만 실패 5동,2,135,DJI_20241217095441_0023_D.JPG,0.68475731,62055.45,316,7.3223,11.4894,-7.3223,40.3304,6.7283,4.8363,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095441_0023_D.npy
DEBY_LOD2_4907195,GS만 실패 5동,3,55,DJI_20241217084847_0187_D.JPG,0.68299563,30908.28,304,16.1675,18.9228,-16.1675,29.6374,17.0208,4.8363,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084847_0187_D.npy
DEBY_LOD2_4907195,GS만 실패 5동,4,56,DJI_20241217084849_0188_D.JPG,0.67469610,41115.98,316,13.9801,17.2775,-13.9801,31.7831,20.1788,4.8363,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084849_0188_D.npy
DEBY_LOD2_4907195,GS만 실패 5동,5,57,DJI_20241217084851_0189_D.JPG,0.61621683,36726.52,315,3.5866,13.6611,-3.5752,42.1710,21.2047,4.8363,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084851_0189_D.npy
