building_id,footprint_area_m2,n_exterior_vertices,n_samples,n_views_nadir,n_views_oblique,n_views_total,median_pair_angle_deg,frac_pairs_10_60deg,median_incidence_deg,frac_views_incidence_le60,roof_obs_covered_frac,recon_score_median,recon_score_p10,roof_lowtex_frac,roof_grad_p10,roof_sat_frac,roof_periodicity,occlusion_frac_approx
DEBY_LOD2_4908025,21.58,4,20,22.15,338.55,360.7,20.21,0.728,57.84,0.59,1.0,240.429,238.818,0.079,0.0235,0.0,0.749,0.375
DEBY_LOD2_4908026,21.63,4,20,22.4,344.1,366.5,20.26,0.733,57.08,0.601,1.0,239.552,238.938,0.068,0.0277,0.0,0.676,0.375
DEBY_LOD2_4908027,21.59,4,20,21.8,337.4,359.2,20.24,0.735,57.07,0.586,1.0,238.963,238.154,0.058,0.0283,0.0,0.676,0.375
DEBY_LOD2_4908028,21.64,4,20,21.75,346.75,368.5,20.36,0.734,56.36,0.579,1.0,238.198,237.463,0.04,0.0351,0.0,0.589,0.286
DEBY_LOD2_4908044,46.3,4,45,0.0,171.4,171.4,14.0,0.621,75.54,0.137,1.0,9.893,8.97,0.033,0.0392,0.0,0.515,0.857
DEBY_LOD2_4908045,55.84,4,55,0.0,177.71,177.71,18.24,0.687,74.12,0.164,1.0,31.861,12.197,0.03,0.04,0.0,0.248,0.8
DEBY_LOD2_4908046,139.03,4,138,0.0,184.63,184.63,20.79,0.779,59.23,0.524,1.0,156.824,149.163,0.639,0.0,0.7929,0.527,0.714
DEBY_LOD2_4908048,68.22,9,68,0.0,226.76,226.76,15.93,0.67,61.73,0.455,1.0,166.669,160.604,0.045,0.0323,0.0,0.697,0.571
DEBY_LOD2_4908049,49.09,4,48,0.0,206.1,206.1,19.79,0.706,60.74,0.483,1.0,159.35,157.05,0.646,0.0,0.0318,0.583,0.6
DEBY_LOD2_4908050,131.67,4,131,0.92,239.18,240.09,12.57,0.583,60.53,0.478,1.0,192.285,177.813,0.049,0.0302,0.0022,0.314,0.8
DEBY_LOD2_4908051,141.53,7,142,0.0,193.86,193.86,30.38,0.698,74.58,0.165,1.0,24.93,19.136,0.047,0.03,0.0,0.245,1.0
DEBY_LOD2_4908052,143.56,7,145,0.0,174.02,174.02,36.96,0.348,80.0,0.011,1.0,11.348,9.008,0.066,0.0265,0.0522,0.142,0.5
DEBY_LOD2_4908053,36.31,7,34,0.0,180.12,180.12,31.39,0.483,80.27,0.01,1.0,10.914,10.096,0.075,0.0236,0.0128,0.212,0.25
DEBY_LOD2_4908054,33.6,4,33,0.0,179.21,179.21,27.28,0.51,80.63,0.002,1.0,12.425,10.519,0.066,0.0262,0.0113,0.168,0.25
DEBY_LOD2_4908059,87.07,6,83,0.0,130.49,130.49,9.23,0.466,76.83,0.143,1.0,5.505,3.795,0.093,0.0222,0.0,0.763,0.333
DEBY_LOD2_4908157,165.05,12,189,0.0,268.21,268.21,19.56,0.77,62.52,0.319,1.0,179.595,141.988,0.064,0.0301,0.0,0.359,0.7
DEBY_LOD2_4908158,182.59,8,196,0.0,230.79,230.79,18.01,0.646,64.28,0.366,1.0,63.006,28.604,0.117,0.0167,0.0004,0.277,0.0
DEBY_LOD2_4908159,37.63,6,39,0.0,262.72,262.72,17.53,0.761,73.37,0.128,1.0,165.269,156.28,0.08,0.0235,0.0164,0.772,0.667
DEBY_LOD2_4908160,8.49,5,9,0.0,214.78,214.78,27.21,0.79,64.43,0.184,1.0,47.477,40.457,0.14,0.0161,0.0004,0.68,1.0
