stable_id,group_id,group_all_member_count,group_eligible_member_count,execution_tile_id,shared_patch_ids,e_paired_candidate
DEBY_LOD2_4959464,GROUP_37b5107f054e56e8,97,47,TILE_004_008,,false
DEBY_LOD2_4959465,GROUP_453e8e648a38a3b6,7,5,TILE_004_009,UASPATCH_9351ec70e859a48b45bc,true
DEBY_LOD2_4959753,GROUP_20ea77d2fd37153c,11,5,TILE_005_009,,false
DEBY_LOD2_4959758,GROUP_20ea77d2fd37153c,11,5,TILE_006_009,,false
DEBY_LOD2_4959759,GROUP_20ea77d2fd37153c,11,5,TILE_007_009,,false
DEBY_LOD2_4959793,GROUP_37b5107f054e56e8,97,47,TILE_005_004,UASPATCH_26bfd76ae43014405b8f;UASPATCH_ae2b27079d565d98d693,true
DEBY_LOD2_60042,GROUP_37b5107f054e56e8,97,47,TILE_002_005,UASPATCH_012006e59b7f5344edeb;UASPATCH_018d42d12cf5aa6e39aa;UASPATCH_0f7e50c7505d3d548979;UASPATCH_15452f07fa1e2a671fb8;UASPATCH_1df0e45fc7bfee9c968f;UASPATCH_33a851d0073ad9ecaa05;UASPATCH_37822ffb137153e5fb33;UASPATCH_486d25144a9848f6d933;UASPATCH_537037da352962df7a5e;UASPATCH_53818c9e92e5516463aa;UASPATCH_56d48d6afa21762aeace;UASPATCH_66139cd23ca2a46572a0;UASPATCH_74b887e0556ef20d5e77;UASPATCH_79347ef78dd344d8bdef;UASPATCH_7d9b4a09548644aae921;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_9e4b8d2fb331a69d1a6c;UASPATCH_a73c56325a3cd1c36295;UASPATCH_aeae990664d7c7f4b023;UASPATCH_b04aa7218b096d6f03c9;UASPATCH_b416b4eac5ca4569341c;UASPATCH_cf767c28bf4bc75ef64c;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_ed39019847c59fe256ef;UASPATCH_f5559b5d995c0aace553;UASPATCH_fafbddf43a9da9a05b81;UASPATCH_fba29ad0725c613b322b,true
DEBY_LOD2_60097,GROUP_37b5107f054e56e8,97,47,TILE_001_006,UASPATCH_b416b4eac5ca4569341c,false
DEBY_LOD2_60098,GROUP_9c6a5205358a819b,11,0,TILE_000_004,,false
DEBY_LOD2_60109,GROUP_37b5107f054e56e8,97,47,TILE_000_001,,false
DEBY_LOD2_8568391,GROUP_37b5107f054e56e8,97,47,TILE_000_003,,false
DEBY_LOD2_8568392,GROUP_37b5107f054e56e8,97,47,TILE_000_003,,false
DEBY_LOD2_8568403,GROUP_37b5107f054e56e8,97,47,TILE_000_001,UASPATCH_61f6e7a87bf259854b4c,true
DEBY_LOD2_8573617,GROUP_7805fa2316d2e6ac,5,0,TILE_000_009,,false
DEBY_LOD2_8573847,GROUP_20ea77d2fd37153c,11,5,TILE_007_009,UASPATCH_2b1d107fc33a6bb0eaf3;UASPATCH_2b3741217844432c40cc;UASPATCH_595edbc45a4788906b28,true
DEBY_LOD2_8573848,GROUP_20ea77d2fd37153c,11,5,TILE_005_009,UASPATCH_0b382d9c95ede5f28ffa;UASPATCH_860a2393fa10c9c43c6c,true
DEBY_LOD2_8573849,GROUP_20ea77d2fd37153c,11,5,TILE_006_008,UASPATCH_2b1d107fc33a6bb0eaf3;UASPATCH_44b925a3cb5be2502e4b;UASPATCH_595edbc45a4788906b28;UASPATCH_68c9b6d2d2b159185612;UASPATCH_abcd5460445e9334c577;UASPATCH_d1ed2ad2768be7f0b1ad,true
