stable_id,unit_semantics,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,independent_reference_component_ids,independent_reference_component_count,independent_reference_score_cells,current_image_view_support,mvs_support_cells,c4_support_cells,c5_prior_available_by_stable_id,c5_input_alignment_ready,u_target,e_paired,execution_tile_id,spatial_group_id,split,held_out_accessed,exclusion_reason,reference_candidate_score_cells,reference_candidate_patch_ids,e_paired_candidate,candidate_exclusion_reason
DEBY_LOD2_108250120,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690992.700,5336341.360,691003.470,5336349.350,,0,0,60,33,29,true,true,true,false,TILE_004_009,GROUP_453e8e648a38a3b6,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_108580335,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691093.740,5336211.380,691132.510,5336257.760,,0,0,111,1499,1194,true,true,true,false,TILE_006_007,GROUP_eb85cf465f639cd2,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,133,UASPATCH_11c5a73473d77100a22c;UASPATCH_3d630698b46824095469;UASPATCH_7fd8b0adc1fbe993e952;UASPATCH_fe2321430a75e310bc33,true,
DEBY_LOD2_108580336,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690953.020,5335962.630,691047.630,5336105.590,UASREF_831ef0451a676b7c8eec;UASREF_e21d1672f78b9b92c26d,2,27,450,11540,7620,true,true,true,true,TILE_004_003,GROUP_ca1040234a79aaa8,held_out,false,,2568,UASPATCH_1406fda10f6c0235d7ba;UASPATCH_15c06745a1857c2050d6;UASPATCH_224cc90ed24d203749bc;UASPATCH_26bfd76ae43014405b8f;UASPATCH_2a550f9f13aa362be51b;UASPATCH_31235b278bbd5f096a03;UASPATCH_3b27611389335ebfe59a;UASPATCH_495a0600c39a7c73cd0d;UASPATCH_4d4f165c9ea6409f2171;UASPATCH_524c9cebb952a474708d;UASPATCH_528c3dcb9518ed271b76;UASPATCH_575251ffe6daca8ef888;UASPATCH_585086393f957ca9d557;UASPATCH_5a8e1013251c1417730b;UASPATCH_5fa7af397aa88c19ab4f;UASPATCH_645b470a16a22b93a0c3;UASPATCH_66139cd23ca2a46572a0;UASPATCH_7af79c6a1771e52b1570;UASPATCH_7ed1bb38641696a5c950;UASPATCH_7f1302cf016119281cb7;UASPATCH_85b295bd189bda83d5ae;UASPATCH_8b26898986b491f815b1;UASPATCH_8d9ecdcefd5f2939a355;UASPATCH_9648e8a9dcf268a2227c;UASPATCH_98f1cda685fffad4750b;UASPATCH_a5b4c9c6d4b8842526d7;UASPATCH_acb7812838f134989dff;UASPATCH_ae2b27079d565d98d693;UASPATCH_aeae990664d7c7f4b023;UASPATCH_b00073cea83aaa4475ee;UASPATCH_bc37c5021ce4cc803c12;UASPATCH_ca84c396c2932bedcc67;UASPATCH_f2828ca96095d8e3ebf1;UASPATCH_f98d75e310e05646aed9,true,
DEBY_LOD2_42364607,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690829.870,5336167.630,690840.940,5336184.660,,0,0,74,0,95,true,true,true,false,TILE_000_006,GROUP_8e9afbc719710e1a,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_42364609,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690860.387,5336180.751,690866.126,5336185.691,,0,0,83,29,4,true,true,true,false,TILE_001_006,GROUP_681774d532569646,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_42364657,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691120.332,5336342.959,691141.893,5336355.188,,0,0,55,141,129,true,true,true,false,TILE_006_009,GROUP_9b53e19602044932,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_42364659,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691087.347,5336287.938,691096.696,5336301.268,,0,0,85,144,107,true,true,true,false,TILE_006_008,GROUP_bf7c45313ca8512b,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_42364661,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691082.728,5336353.129,691093.350,5336362.490,,0,0,59,0,10,true,true,true,false,TILE_005_009,GROUP_03be68f110a2a800,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_42364663,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690916.959,5336090.729,690928.798,5336117.968,UASREF_0ecbec5e048f8a0523f7,1,68,260,354,267,true,true,true,true,TILE_002_004,GROUP_ccf535781f75c1c0,development,false,,54,UASPATCH_27cc4039ad9c4c209b48;UASPATCH_33a851d0073ad9ecaa05,true,
DEBY_LOD2_42364665,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690878.019,5336057.014,690905.793,5336062.468,,0,0,257,195,81,true,true,true,false,TILE_002_003,GROUP_157737f6c7f694d9,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_42364667,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690891.702,5336091.347,690917.651,5336095.022,,0,0,256,108,72,true,true,true,false,TILE_002_004,GROUP_ccf535781f75c1c0,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,0,,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906965,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690825.810,5335938.400,690928.630,5336024.430,,0,0,464,7076,5725,true,true,true,false,TILE_001_002,GROUP_ad345227d99d538c,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,1308,UASPATCH_114641f27cd0b9be91b9;UASPATCH_1d1bdc2ff2ec1b922279;UASPATCH_34f440f846d9fd5d365d;UASPATCH_350aaa8ca70589268a4b;UASPATCH_5566cbc4a8a1b813dc48;UASPATCH_5c3262edca5ea6a6a9ea;UASPATCH_5dd548dd2bf5a023f7d2;UASPATCH_6022d83505423d18bbe6;UASPATCH_6370426a71cd194147b2;UASPATCH_7681e9ebec72deb1a16b;UASPATCH_8a78be90f0ec1206c77a;UASPATCH_ac78da824c7791eaba09;UASPATCH_ce1acfb3879dc4f5afaf;UASPATCH_d11f3b5ec57c9e38e86e;UASPATCH_eb3054d5a5b4e8374707;UASPATCH_fa5d0469035c6a11ac1d;UASPATCH_ff82f5334d866df1dc79,true,
DEBY_LOD2_4906966,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690845.610,5336017.780,690892.670,5336102.170,,0,0,351,3064,1929,true,true,true,false,TILE_001_003,GROUP_413429cde91f40d5,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,664,UASPATCH_06ff9f271ae7c01d713f;UASPATCH_350aaa8ca70589268a4b;UASPATCH_7dd9d2efb928bedc190b;UASPATCH_9414ec45f78987df0902;UASPATCH_a6e76efde2ebe2670f29;UASPATCH_ed39019847c59fe256ef;UASPATCH_f1e9f81acf8780b135b1;UASPATCH_fd759aa9abfe72d0c00a,true,
DEBY_LOD2_4906967,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690870.030,5335963.820,690944.530,5336024.550,,0,0,426,4070,3201,true,true,true,false,TILE_002_002,GROUP_9dd01a0016ca842a,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT,805,UASPATCH_350aaa8ca70589268a4b;UASPATCH_5566cbc4a8a1b813dc48;UASPATCH_5c3262edca5ea6a6a9ea;UASPATCH_5dd548dd2bf5a023f7d2;UASPATCH_ac78da824c7791eaba09;UASPATCH_ce1acfb3879dc4f5afaf;UASPATCH_e6fcb3551db5cc395d6c;UASPATCH_eb3054d5a5b4e8374707;UASPATCH_fa5d0469035c6a11ac1d;UASPATCH_ff82f5334d866df1dc79,true,
