bid,source,stage3_algo_version,metric_version,status,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,metric_artifact_dir,readout_artifact_dir,failure_reason
B50,E3_Baseline_primitive,Stage3Algo-v0,Metric-v0,EVIDENCE_OR_PLANE_INSUFFICIENT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E3_Baseline_primitive/B50,EVIDENCE_OR_PLANE_INSUFFICIENT
B50,E4_Mutual_primitive,Stage3Algo-v0,Metric-v0,OK,19,8,10,1,0.552,0.9426666666666667,0.0,0.912,8.727923972532196e-16,3.376300065592299e-15,0.39233333333333337,0.8407497935044769,0.8403333333333334,0.8411666666666666,0.2190682791471481,1.0203464722006441,1.8750767213051716,0.28831019593201146,1.0,True,0,0,10,10,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E4_Mutual_primitive/B50,
B104,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v0,OK,7,2,4,1,1.0,1.0,1.0,0.9705,2.1819902578631266e-15,6.791255390804561e-15,0.997,1.0,1.0,1.0,0.0,1.0000000000000053,0.25351624369174525,0.06511118116902322,1.0,True,0,0,4,4,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B104,
B104,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,SOURCE_MISSING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B104,source artifact unavailable
B104,E2_Mutual_rendered,Stage3Algo-v0,Metric-v0,OK,7,2,4,1,1.0,0.9223333333333333,0.0,0.8225,2.209504231261536e-15,6.924412099839007e-15,0.7333333333333334,0.8331299266195172,0.8903333333333333,0.7828333333333334,0.6116163007342417,0.7344324374550641,0.759673032242964,0.21788578140707418,1.0,True,0,0,4,4,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B104,
B104,E3_Baseline_primitive,Stage3Algo-v0,Metric-v0,OK,7,2,4,1,1.0,1.0,0.0,0.8841666666666667,2.199623246342372e-15,6.924412099839007e-15,0.44366666666666665,0.8689414768013274,0.8336666666666667,0.9073333333333333,0.6171760262351902,1.1542200531368818,0.56208996696299,0.14332644479614742,1.0,True,0,0,4,4,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E3_Baseline_primitive/B104,
B104,E4_Mutual_primitive,Stage3Algo-v0,Metric-v0,EVIDENCE_OR_PLANE_INSUFFICIENT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E4_Mutual_primitive/B104,EVIDENCE_OR_PLANE_INSUFFICIENT
B0,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v1,OK,23,10,12,1,0.4023333333333333,0.9523333333333334,1.0,0.9233333333333333,1.865487181730847e-15,9.821561306426032e-15,0.6890000000000001,0.898903680355984,0.9023333333333333,0.8955,0.0,2.1983548431372038,2.3536110253692644,0.27208658091630067,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase1_metric_v1_audit_stage3_v0/E0_GT_clean_upper_bound/B0,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B0,
B0,E1_Baseline_rendered,Stage3Algo-v0,Metric-v1,SOURCE_MISSING,,,,,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase1_metric_v1_audit_stage3_v0/E1_Baseline_rendered/B0,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B0,
B0,E2_Mutual_rendered,Stage3Algo-v0,Metric-v1,OK,23,10,12,1,0.7706666666666667,0.9623333333333334,1.0,0.946,1.851991012631141e-15,9.829558326425327e-15,0.5923333333333333,0.959110599478714,0.9518333333333333,0.9665,0.5267500991966507,1.101200743096035,1.9228446365893324,0.22915601091957324,1.0,True,0,0,12,12,CLOSED,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase1_metric_v1_audit_stage3_v0/E2_Mutual_rendered/B0,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B0,
