basename,camera_id,image_in_zip,input_capture_present,calibrated_pose_present,status,exclusion_reason
DJI_20241217091219_0132_D.JPG,3009480629184420981,true,true,true,INCLUDED,
DJI_20241217091221_0133_D.JPG,8170496904496344949,true,true,true,INCLUDED,
DJI_20241217091223_0134_D.JPG,12593963124457471778,true,true,true,INCLUDED,
DJI_20241217091225_0135_D.JPG,10002000242092952312,true,true,true,INCLUDED,
DJI_20241217091227_0136_D.JPG,13289300180792904244,true,true,true,INCLUDED,
DJI_20241217091229_0137_D.JPG,13917033712654798455,true,true,true,INCLUDED,
DJI_20241217091231_0138_D.JPG,15974021655499219640,true,true,true,INCLUDED,
DJI_20241217091233_0139_D.JPG,7899533555065831768,true,true,true,INCLUDED,
DJI_20241217091235_0140_D.JPG,8022229384544931781,true,true,true,INCLUDED,
DJI_20241217091237_0141_D.JPG,17774101141438311134,true,true,true,INCLUDED,
DJI_20241217091239_0142_D.JPG,1686483087632255780,true,true,true,INCLUDED,
DJI_20241217091241_0143_D.JPG,10552591111657853296,true,true,true,INCLUDED,
DJI_20241217091243_0144_D.JPG,7064297338976748497,true,true,true,INCLUDED,
DJI_20241217091245_0145_D.JPG,7740564127804619622,true,true,true,INCLUDED,
DJI_20241217091247_0146_D.JPG,15349919123053095432,true,true,true,INCLUDED,
DJI_20241217091249_0147_D.JPG,13795805542911993546,true,true,true,INCLUDED,
DJI_20241217091251_0148_D.JPG,2046255861390840661,true,true,true,INCLUDED,
DJI_20241217091253_0149_D.JPG,9642275660522754615,true,true,true,INCLUDED,
