bid,source,branch,base_status,branch_status,base_roof_cov,branch_roof_cov,delta_roof_cov,base_wall_cov,branch_wall_cov,delta_wall_cov,base_ground_cov,branch_ground_cov,delta_ground_cov,base_support_coverage,branch_support_coverage,delta_support_coverage,base_roof_support_cov,branch_roof_support_cov,delta_roof_support_cov,base_wall_support_cov,branch_wall_support_cov,delta_wall_support_cov,base_ground_support_cov,branch_ground_support_cov,delta_ground_support_cov,base_F,branch_F,delta_F,base_h_err,branch_h_err,delta_h_err,base_vol_ratio,branch_vol_ratio,delta_vol_ratio,base_chamfer,branch_chamfer,delta_chamfer,base_open_edges,branch_open_edges,delta_open_edges,base_nonmanifold_edges,branch_nonmanifold_edges,delta_nonmanifold_edges
B0,E1_Baseline_rendered,Stage3Algo-v1c-height-definition,OK,OK,0.7083333333333334,0.7083333333333334,0.0,0.9666666666666667,0.9666666666666667,0.0,1.0,1.0,0.0,0.5643333333333334,0.5643333333333334,0.0,0.749,0.749,0.0,0.675,0.675,0.0,0.251,0.251,0.0,0.9431012572505374,0.9431012572505374,0.0,0.46317344274640604,0.46317344274640604,0.0,1.1037195319762478,1.1037195319762478,0.0,0.24164808654486314,0.24164808654486314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,E1_Baseline_rendered,Stage3Algo-v1c-height-definition,OK,OK,0.876,0.876,0.0,0.8636666666666667,0.8636666666666667,0.0,0.0,0.0,0.0,0.4983333333333333,0.4983333333333333,0.0,0.981,0.981,0.0,0.536,0.536,0.0,0.004,0.004,0.0,0.8391250330425588,0.8391250330425588,0.0,1.6901273512442305,1.6901273512442305,0.0,0.791373106324835,0.791373106324835,0.0,0.39348311830437976,0.39348311830437976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,E1_Baseline_rendered,Stage3Algo-v1c-height-definition,OK,OK,1.0,1.0,0.0,0.987,0.987,0.0,1.0,1.0,0.0,0.5056666666666667,0.5056666666666667,0.0,1.0,1.0,0.0,0.428,0.428,0.0,0.136,0.136,0.0,0.9964135931532435,0.9964135931532435,0.0,0.5234961877382975,0.5234961877382975,0.0,2.071946822557437,2.071946822557437,0.0,0.19720129823536003,0.19720129823536003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B8,E1_Baseline_rendered,Stage3Algo-v1c-height-definition,OK,OK,0.9816666666666667,0.9816666666666667,0.0,0.9816666666666667,0.9816666666666667,0.0,1.0,1.0,0.0,0.496,0.496,0.0,1.0,1.0,0.0,0.404,0.404,0.0,0.068,0.068,0.0,0.9959158229436867,0.9959158229436867,0.0,0.2493086345062192,0.2493086345062192,0.0,1.589819017680507,1.589819017680507,0.0,0.19343811126845106,0.19343811126845106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B6,E1_Baseline_rendered,Stage3Algo-v1c-height-definition,OK,OK,0.6693333333333333,0.6693333333333333,0.0,0.9326666666666666,0.9326666666666666,0.0,1.0,1.0,0.0,0.4626666666666666,0.4626666666666666,0.0,0.898,0.898,0.0,0.421,0.421,0.0,0.071,0.071,0.0,0.947825830842272,0.947825830842272,0.0,3.627471515617838,3.627471515617838,0.0,0.6782715244356421,0.6782715244356421,0.0,0.23813073131969748,0.23813073131969748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3,E1_Baseline_rendered,Stage3Algo-v1c-height-definition,OK,OK,0.14966666666666667,0.14966666666666667,0.0,0.609,0.609,0.0,0.7763333333333333,0.7763333333333333,0.0,0.25266666666666665,0.25266666666666665,0.0,0.321,0.321,0.0,0.407,0.407,0.0,0.065,0.065,0.0,0.40331385102574696,0.40331385102574696,0.0,2.4719599680153728,2.4719599680153728,0.0,0.9650653233730663,0.9650653233730663,0.0,1.0849839789180125,1.0849839789180125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B123,E1_Baseline_rendered,Stage3Algo-v1c-height-definition,OK,OK,0.167,0.167,0.0,0.647,0.647,0.0,0.9766666666666667,0.9766666666666667,0.0,0.342,0.342,0.0,0.302,0.302,0.0,0.652,0.652,0.0,0.102,0.102,0.0,0.5965428132420729,0.5965428132420729,0.0,0.29203150714080905,0.29203150714080905,0.0,0.992215560786045,0.992215560786045,0.0,0.8348434343385214,0.8348434343385214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B126,E1_Baseline_rendered,Stage3Algo-v1c-height-definition,OK,OK,0.14133333333333334,0.14133333333333334,0.0,0.6223333333333333,0.6223333333333333,0.0,0.99,0.99,0.0,0.23500000000000001,0.23500000000000001,0.0,0.2,0.2,0.0,0.449,0.449,0.0,0.045,0.045,0.0,0.5614468652734549,0.5614468652734549,0.0,1.233671258914974,1.233671258914974,0.0,0.2767196310685855,0.2767196310685855,0.0,1.0299905522465689,1.0299905522465689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B50,E1_Baseline_rendered,Stage3Algo-v1c-height-definition,OK,OK,0.5476666666666666,0.5476666666666666,0.0,0.945,0.945,0.0,1.0,1.0,0.0,0.4403333333333334,0.4403333333333334,0.0,0.921,0.921,0.0,0.319,0.319,0.0,0.047,0.047,0.0,0.9331509198071085,0.9331509198071085,0.0,0.13542257921591627,0.13542257921591627,0.0,1.0095923918666236,1.0095923918666236,0.0,0.23308632957319247,0.23308632957319247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B104,E1_Baseline_rendered,Stage3Algo-v1c-height-definition,OK,OK,1.0,1.0,0.0,0.9996666666666667,0.9996666666666667,0.0,1.0,1.0,0.0,0.7943333333333333,0.7943333333333333,0.0,1.0,1.0,0.0,0.775,0.775,0.0,0.545,0.545,0.0,1.0,1.0,0.0,0.2308115401708064,0.2308115401708064,0.0,0.8649605297263258,0.8649605297263258,0.0,0.13417468555339113,0.13417468555339113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,E0_GT_clean_upper_bound,Stage3Algo-v1c-height-definition,OK,OK,0.4023333333333333,0.4023333333333333,0.0,0.9523333333333334,0.9523333333333334,0.0,1.0,1.0,0.0,0.6890000000000001,0.6890000000000001,0.0,0.321,0.321,0.0,0.897,0.897,0.0,0.843,0.843,0.0,0.898903680355984,0.898903680355984,0.0,0.0,0.0,0.0,2.1983548431372038,2.1983548431372038,0.0,0.27208658091630067,0.27208658091630067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0,E2_Mutual_rendered,Stage3Algo-v1c-height-definition,OK,OK,0.7706666666666667,0.7706666666666667,0.0,0.9623333333333334,0.9623333333333334,0.0,1.0,1.0,0.0,0.5923333333333333,0.5923333333333333,0.0,0.854,0.854,0.0,0.692,0.692,0.0,0.266,0.266,0.0,0.959110599478714,0.959110599478714,0.0,0.5267500991966507,0.5267500991966507,0.0,1.101200743096035,1.101200743096035,0.0,0.22915601091957324,0.22915601091957324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,E0_GT_clean_upper_bound,Stage3Algo-v1c-height-definition,OK,OK,1.0,1.0,0.0,0.949,0.949,0.0,1.0,1.0,0.0,0.8689999999999999,0.8689999999999999,0.0,0.861,0.861,0.0,0.885,0.885,0.0,0.848,0.848,0.0,0.9899164912871453,0.9899164912871453,0.0,0.0,0.0,0.0,1.0000097547675852,1.0000097547675852,0.0,0.21001457921437408,0.21001457921437408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B1,E2_Mutual_rendered,Stage3Algo-v1c-height-definition,OK,OK,0.7803333333333333,0.7803333333333333,0.0,0.9293333333333333,0.9293333333333333,0.0,0.963,0.963,0.0,0.48933333333333334,0.48933333333333334,0.0,0.927,0.927,0.0,0.513,0.513,0.0,0.055,0.055,0.0,0.9140608933454877,0.9140608933454877,0.0,0.32589166941419023,0.32589166941419023,0.0,0.8318275308772364,0.8318275308772364,0.0,0.26164930122034225,0.26164930122034225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2,E0_GT_clean_upper_bound,Stage3Algo-v1c-height-definition,OK,OK,1.0,1.0,0.0,0.984,0.984,0.0,1.0,1.0,0.0,0.8476666666666667,0.8476666666666667,0.0,0.846,0.846,0.0,0.886,0.886,0.0,0.844,0.844,0.0,0.9989161035566309,0.9989161035566309,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,2.012147367894346,2.012147367894346,0.0,0.1659385091913499,0.1659385091913499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
