bid,bid_int,source,class_id,class_name,point_count,semantic_entropy_mean,semantic_confidence_mean,normal_consistency_mean,weight_mean,y_mean,y_median,y_p10,y_p90,z_mean,z_median,distance_to_gt_reference_ground_plane_mean,distance_to_predicted_GroundSurface_mean,distance_to_predicted_RoofSurface_mean,distance_to_predicted_same_surface_mean,semantic_confidence_vs_geometric_error_corr,normal_confidence_vs_geometric_error_corr,focus_case
B3,3,E2_Mutual_rendered,3,ground,685,0.21807716310425343,0.361257562704765,0.9288353422120339,0.3617092414820281,-0.6243135208494275,-0.22781768441200256,-1.5644757747650146,0.01547088623046878,-31.276391396905385,-33.386688232421875,0.6078456348187059,1.0829813939021236,3.6279670984273995,1.0829813939021236,0.08151652936662172,0.05408568190462592,True
B123,123,E1_Baseline_rendered,1,roof,18388,0.03390896124470455,0.9527152176838621,0.9792057749166497,0.9737588445043561,-14.37485300280982,-16.854039192199707,-17.08118419647217,-4.5024489402771,-75.74512175650656,-75.50956726074219,13.85685300280982,13.839263619287243,1.9415357750288262,1.9415357750288262,0.1110864965799224,0.04514282505230885,True
B123,123,E1_Baseline_rendered,2,wall,6771,0.05581400267490656,0.8819222879344208,0.841583317181183,0.8867783829142875,-9.997925975763398,-10.569091796875,-16.019556045532227,-2.8875129222869873,-70.6413827855836,-69.94287872314453,9.480587734296744,9.481998705932819,4.78962459653184,1.1028479486089797,-0.09732530985098917,-0.2266569862949092,True
B123,123,E1_Baseline_rendered,3,ground,851,0.129295875650734,0.5019901790924274,0.9421357109304258,0.5149777859064163,-0.5875970017601059,-0.15160471200942993,-0.8670768141746521,0.03195953369140625,-76.194981369933,-74.2337417602539,0.7091715958046363,1.0662600242643696,8.88579768807374,1.0662600242643696,0.04172758721065262,-0.15625704737108112,True
B123,123,E2_Mutual_rendered,1,roof,18397,0.021103930888351944,0.95625193755805,0.9782572884533063,0.9767103254059615,-14.352734437434384,-16.852928161621094,-17.0783390045166,-4.49930772781372,-75.7934823674586,-75.51119232177734,13.834734437434381,14.07114623753514,2.120051437377719,2.120051437377719,0.09610805593556092,0.05261600105690359,True
B123,123,E2_Mutual_rendered,2,wall,6846,0.04578584668183269,0.8736033792325342,0.8643497942035613,0.8799108620390205,-10.059355171376106,-10.617937088012695,-16.049572944641113,-2.9665409326553345,-70.83569158687251,-70.04111862182617,9.54178518161344,9.794218115273184,4.879268084421823,1.1761960798246356,-0.0633623050821832,-0.21128845772345536,True
B123,123,E2_Mutual_rendered,3,ground,809,0.12569684981622034,0.4939808450151138,0.9315007045919731,0.51073968168279,-0.3792698075931533,-0.13921000063419342,-0.7987028479576109,0.04324444234371186,-75.58135569021934,-72.8246841430664,0.5311414773840369,0.8597508502562438,9.375503045977078,0.8597508502562438,-0.08730033523123736,0.04926741223479975,True
B126,126,E1_Baseline_rendered,1,roof,12794,0.04771949434854391,0.9308375837792358,0.9023147339690065,0.955994253716367,-14.306001196713378,-17.63868236541748,-18.757058715820314,-4.142834711074829,-85.93454760619584,-84.45590591430664,13.704001196713374,13.918608970479761,1.8366783730789968,1.8366783730789968,-0.14876023957861087,0.24255597004068563,True
B126,126,E1_Baseline_rendered,2,wall,3752,0.08214957889276872,0.9026680235872104,0.8132780829450343,0.9077048730760463,-11.037888267448842,-11.456836223602295,-18.094122886657715,-3.30225830078125,-80.40857963724686,-78.64822387695312,10.436768565127714,10.66039133010841,4.260743194524489,1.292056448486685,-0.18680422729100432,-0.41731599122653046,True
B126,126,E1_Baseline_rendered,3,ground,358,0.12287399983442455,0.5575088208447622,0.9614623868136035,0.5713225230990842,-0.4819486675232482,-0.12966804951429367,-1.2512457489967344,0.03201166987419132,-83.64000141420844,-79.05073547363281,0.7091311802121515,0.9336118796871014,10.352583203035806,0.9336118796871014,-0.10255065210662724,-0.04660887535882444,True
