input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
raw-ACMP,DEBY_LOD2_4959753,success,success,True,standard,False,slanted,212.422104,0.000000,0.917170,4,True,True,[]
raw-ACMP,DEBY_LOD2_4959758,success,success,True,standard,False,slanted,113.806450,0.933619,10.876143,1,True,True,[]
raw-ACMP,DEBY_LOD2_4959759,failure,missing_lod22_geometry,True,standard,False,slanted,87.476639,0.546610,0.000000,2,False,True,[]
raw-ACMP,DEBY_LOD2_4959793,success,success,True,standard,False,slanted,210.620331,0.000000,0.311209,4,True,True,[]
raw-ACMP,DEBY_LOD2_60042,success,success,True,standard,False,slanted,285.185150,0.000000,2.391799,104,True,True,[]
raw-ACMP,DEBY_LOD2_60097,success,success,True,standard,False,slanted,64.693336,0.301242,5.706812,9,True,True,[]
raw-ACMP,DEBY_LOD2_60098,failure,val3dity_invalid,True,standard,False,slanted,43.802097,0.149235,2.254704,9,True,False,"[{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_60098-0|geom=0|shell=0|face=10"",""info"":""""},{""code"":102,""description"":""CONSECUTIVE_POINTS_SAME"",""id"":""coid=DEBY_LOD2_60098-0|geom=0|shell=0|face=13"",""info"":""""}]"
raw-ACMP,DEBY_LOD2_60109,failure,missing_roofer_output,,,,,,,,,False,,
raw-ACMP,DEBY_LOD2_8568391,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,5.176471,0.923077,,0,False,True,[]
raw-ACMP,DEBY_LOD2_8568392,failure,pointcloud_unusable_no_points,True,skip,True,no points,11.076923,0.458333,,0,False,True,[]
raw-ACMP,DEBY_LOD2_8568403,success,success,True,standard,False,slanted,93.614037,0.000000,2.476220,2,True,True,[]
raw-ACMP,DEBY_LOD2_8573617,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.500000,0.942029,,0,False,True,[]
raw-ACMP,DEBY_LOD2_8573847,failure,val3dity_invalid,True,standard,False,slanted,112.781433,0.257184,3.209082,39,True,False,"[{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_8573847-0|geom=0|shell=0|face="",""info"":""Location hole: (691160, 5.33634e+06, 557.82)""},{""code"":302,""description"":""SHELL_NOT_CLOSED"",""id"":""coid=DEBY_LOD2_8573847-0|geom=0|shell=0|face="",""info"":""Location hole: (691172, 5.33634e+06, 557.82)""}]"
raw-ACMP,DEBY_LOD2_8573848,success,success,True,standard,False,slanted,134.561203,0.184292,2.821110,44,True,True,[]
raw-ACMP,DEBY_LOD2_8573849,success,success,True,standard,False,slanted,216.574142,0.000594,2.167222,34,True,True,[]
